biocomp_id,molregno,component_id
3275,20668,21656
1948,54825,20823
1634,54825,21575
1938,88180,20638
1393,112560,21562
3644,174064,20533
2946,191902,20530
3254,191902,21809
2988,196398,20724
1725,197517,20632
3035,236750,20595
3512,237298,20641
2957,320848,20529
2890,390990,20531
3192,390990,21851
2895,429156,21274
2016,433425,20639
2888,456123,20951
1941,508828,20640
1340,508828,21807
3642,597971,20725
3524,631325,20532
2067,674467,21484
1628,675363,21521
2564,675363,22028
2575,675366,21568
3212,675366,21570
2906,675366,21911
1952,675366,21912
3201,675367,20805
2899,675367,21337
3209,675368,21549
1349,675368,22031
1985,675369,21572
1984,675370,21557
2500,675371,20782
1879,675371,21815
3631,675376,21520
3200,675377,20892
2565,675377,21661
2381,675381,21555
1627,675383,20706
2898,675383,20707
1942,675383,21907
2897,675383,21908
3559,675387,21563
1678,675387,21564
2949,675387,22075
2304,675387,22076
2909,675388,20903
2266,675388,22071
1999,675389,21516
1642,675392,21519
1640,675393,21520
3191,675394,21514
1943,675396,21548
2255,675396,21901
1681,675398,21552
3520,675399,20866
1350,675399,21955
2891,675404,21482
3506,675404,21627
2379,675405,21511
1469,675405,21512
1753,675405,21513
2696,675407,21510
2378,675408,21510
2062,675411,21510
3518,675413,20915
1951,675414,21510
3316,675415,21510
3171,675419,20785
2217,675419,20786
2216,675419,21659
3170,675419,21660
2380,675424,21553
1683,675434,21521
1682,675434,22028
1633,675435,20849
2261,675435,21956
3168,675439,20873
1308,675439,20874
1307,675439,21897
2859,675439,21898
3188,675441,20895
2555,675441,21570
1331,675441,21904
2242,675441,21912
1699,675446,21568
1410,675446,21570
2698,675451,21569
2065,675451,21571
3527,675456,21485
1945,675474,21549
3519,675474,22031
2947,675478,21570
3256,675478,21571
2499,675480,20738
3491,675483,20910
2229,675483,21041
3179,675483,21665
2874,675483,22508
2237,675485,20739
2236,675485,20740
1615,675485,22023
1326,675485,22024
2864,675487,20886
1909,675487,20887
2308,675493,20878
3560,675493,21760
2948,675494,21573
1755,675506,21554
1679,675508,21716
2307,675508,22162
2950,675508,22193
2622,675508,22194
1409,675518,21560
3267,675518,21561
2566,675521,21550
1944,675521,21914
2562,675534,21515
3199,675534,21570
3515,675534,21910
