chembl_release_id,chembl_release,creation_date
1,CHEMBL_1,2009-09-03
2,CHEMBL_2,2009-11-30
3,CHEMBL_3,2010-04-16
4,CHEMBL_4,2010-05-18
5,CHEMBL_5,2010-06-24
6,CHEMBL_6,2010-08-27
7,CHEMBL_7,2010-09-29
8,CHEMBL_8,2010-10-26
9,CHEMBL_9,2011-01-20
10,CHEMBL_10,2011-05-26
11,CHEMBL_11,2011-08-01
12,CHEMBL_12,2011-11-18
13,CHEMBL_13,2012-02-21
14,CHEMBL_14,2012-06-27
15,CHEMBL_15,2013-01-23
16,CHEMBL_16,2013-05-07
17,CHEMBL_17,2013-08-29
18,CHEMBL_18,2014-03-12
19,CHEMBL_19,2014-07-03
20,CHEMBL_20,2015-01-14
21,CHEMBL_21,2016-02-01
22,CHEMBL_22,2016-11-08
23,CHEMBL_23,2017-05-01
24,CHEMBL_24,2018-04-23
25,CHEMBL_25,2018-12-10
26,CHEMBL_26,2020-01-10
27,CHEMBL_27,2020-05-18
28,CHEMBL_28,2021-01-15
29,CHEMBL_29,2021-07-01
30,CHEMBL_30,2022-02-22
31,CHEMBL_31,2022-07-12
32,CHEMBL_32,2023-01-26
33,CHEMBL_33,2023-05-31
34,CHEMBL_34,2024-03-28
