indref_id,drugind_id,ref_type,ref_id,ref_url
593841,126883,FDA,label/2015/205739s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/205739s000lbl.pdf
593843,22630,EMA,EMEA/H/C/002211,https://www.ema.europa.eu/en/medicines/human/EPAR/eklira-genuair
593844,22630,ClinicalTrials,"NCT00358436,NCT00363896,NCT00435760,NCT00500318,NCT00626522,NCT00891462,NCT00970268,NCT01045161,NCT01437397,NCT01437540,NCT01462929,NCT01462942,NCT01471171,NCT01572792,NCT01908140,NCT01966107,NCT02153489,NCT02181023,NCT02375724,NCT02972476,NCT03022097,NCT03181880,NCT03275116",https://clinicaltrials.gov/search?term=NCT00358436%20NCT00363896%20NCT00435760%20NCT00500318%20NCT00626522%20NCT00891462%20NCT00970268%20NCT01045161%20NCT01437397%20NCT01437540%20NCT01462929%20NCT01462942%20NCT01471171%20NCT01572792%20NCT01908140%20NCT01966107%20NCT02153489%20NCT02181023%20NCT02375724%20NCT02972476%20NCT03022097%20NCT03181880%20NCT03275116
593845,22630,FDA,label/2012/202450s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202450s000lbl.pdf
593846,41997,FDA,label/2012/202450s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202450s000lbl.pdf
593847,55505,ClinicalTrials,NCT03104634,https://clinicaltrials.gov/search?term=NCT03104634
593848,51628,FDA,label/2012/202450s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202450s000lbl.pdf
593849,26989,ATC,R03BB05,https://www.whocc.no/atc_ddd_index/?code=R03BB05
593850,136807,FDA,label/2012/202450s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202450s000lbl.pdf
593851,144074,ClinicalTrials,NCT02141451,https://clinicaltrials.gov/search?term=NCT02141451
593852,144075,ClinicalTrials,"NCT00864175,NCT01254136",https://clinicaltrials.gov/search?term=NCT00864175%20NCT01254136
593853,144076,ClinicalTrials,NCT00820560,https://clinicaltrials.gov/search?term=NCT00820560
593854,48359,ClinicalTrials,NCT00683436,https://clinicaltrials.gov/search?term=NCT00683436
593855,55506,ClinicalTrials,NCT00427167,https://clinicaltrials.gov/search?term=NCT00427167
