tid,relationship,related_tid,targrel_id
11699,SUBSET OF,104812,489398
12261,SUBSET OF,104822,489399
12261,SUBSET OF,118329,489400
12755,SUBSET OF,104684,489401
12735,SUBSET OF,105018,489402
10715,SUBSET OF,116870,489404
10055,SUBSET OF,109704,489413
10055,SUBSET OF,120268,489414
10540,SUBSET OF,119730,489415
10480,SUBSET OF,104977,489417
10480,SUBSET OF,108400,489418
10480,SUBSET OF,119456,489419
10480,SUBSET OF,120514,489420
10480,SUBSET OF,109746,489421
10480,SUBSET OF,104965,489422
10480,SUBSET OF,119433,489423
10480,SUBSET OF,117097,489424
10480,SUBSET OF,119417,489425
10480,SUBSET OF,119435,489426
10480,SUBSET OF,119868,489427
10732,SUBSET OF,117072,489429
10732,SUBSET OF,109639,489430
10732,SUBSET OF,117071,489431
12839,SUBSET OF,104828,489432
11522,SUBSET OF,104769,489433
11522,SUBSET OF,119682,489434
72,SUBSET OF,107904,489435
72,SUBSET OF,105040,489436
72,SUBSET OF,104754,489437
72,SUBSET OF,104994,489438
72,SUBSET OF,105671,489439
72,SUBSET OF,118327,489440
72,SUBSET OF,104807,489441
72,SUBSET OF,104984,489442
72,SUBSET OF,104842,489443
125,SUBSET OF,104993,489444
125,SUBSET OF,104723,489446
125,SUBSET OF,104787,489447
125,SUBSET OF,105670,489449
125,SUBSET OF,104831,489450
52,SUBSET OF,117056,489452
52,SUBSET OF,104787,489453
52,SUBSET OF,104743,489455
52,SUBSET OF,105670,489456
52,SUBSET OF,117034,489457
277,SUBSET OF,105765,489458
277,SUBSET OF,105766,489459
50,SUBSET OF,104880,489460
50,SUBSET OF,105670,489461
50,SUBSET OF,104854,489462
50,SUBSET OF,104700,489463
51,SUBSET OF,119760,489467
51,SUBSET OF,104841,489468
51,SUBSET OF,104984,489469
51,SUBSET OF,119675,489470
166,SUBSET OF,104706,489474
166,SUBSET OF,104298,489475
64,SUBSET OF,120262,489476
64,SUBSET OF,117176,489477
107,SUBSET OF,104817,489478
107,SUBSET OF,104784,489479
107,SUBSET OF,104994,489480
107,SUBSET OF,119877,489481
107,SUBSET OF,104841,489482
108,SUBSET OF,104817,489483
108,SUBSET OF,104784,489484
108,SUBSET OF,104992,489485
108,SUBSET OF,104841,489486
23,SUBSET OF,104928,489487
10353,SUBSET OF,119722,489492
10541,SUBSET OF,119728,489494
17145,SUBSET OF,105025,489498
17145,SUBSET OF,116887,489499
11433,SUBSET OF,118289,489500
11433,SUBSET OF,118290,489501
11433,SUBSET OF,104715,489502
10043,SUBSET OF,104868,489503
10043,SUBSET OF,104788,489504
11498,SUBSET OF,119725,489505
10648,SUBSET OF,104873,489506
12854,SUBSET OF,105078,489507
12854,SUBSET OF,104713,489508
12854,SUBSET OF,104699,489509
10986,SUBSET OF,118320,489510
10986,SUBSET OF,105074,489511
10575,SUBSET OF,105051,489516
11077,SUBSET OF,105113,489519
11902,SUBSET OF,120208,489524
11902,SUBSET OF,117044,489525
11902,SUBSET OF,119339,489526
11902,SUBSET OF,109739,489527
10919,SUBSET OF,108405,489528
10919,SUBSET OF,108404,489529
10919,SUBSET OF,120215,489530
10919,SUBSET OF,121067,489531
10919,SUBSET OF,107917,489533
10919,SUBSET OF,105757,489534
10919,SUBSET OF,107918,489535
10919,SUBSET OF,119870,489536
11013,SUBSET OF,104853,489537
11524,SUBSET OF,105033,489538
12516,SUBSET OF,104839,489539
12488,SUBSET OF,104809,489543
10917,SUBSET OF,104768,489544
12133,SUBSET OF,104731,489550
12133,SUBSET OF,104879,489551
12362,SUBSET OF,104809,489553
20095,SUBSET OF,117123,489554
11309,SUBSET OF,116898,489555
11309,SUBSET OF,104766,489556
11052,SUBSET OF,105708,489557
12473,SUBSET OF,105062,489558
10903,SUBSET OF,104683,489559
10903,SUBSET OF,104813,489560
10529,SUBSET OF,104740,489561
10529,SUBSET OF,104711,489562
10529,SUBSET OF,107933,489563
12684,SUBSET OF,104820,489580
10364,SUBSET OF,104693,489583
10364,SUBSET OF,104680,489584
10628,SUBSET OF,104705,489585
10461,SUBSET OF,106719,489586
10133,SUBSET OF,118373,489587
10133,SUBSET OF,119466,489588
11429,SUBSET OF,105113,489589
11031,SUBSET OF,105099,489590
10604,SUBSET OF,104859,489591
12605,SUBSET OF,117295,489592
12915,SUBSET OF,118377,489593
12915,SUBSET OF,107912,489594
11762,SUBSET OF,107907,489597
11762,SUBSET OF,119767,489598
11762,SUBSET OF,104701,489599
10877,SUBSET OF,104731,489600
10163,SUBSET OF,119703,489601
11848,SUBSET OF,120529,489602
11848,SUBSET OF,104869,489603
10930,SUBSET OF,104815,489604
226,SUBSET OF,104880,489605
226,SUBSET OF,105670,489606
226,SUBSET OF,105082,489607
226,SUBSET OF,104700,489608
11418,SUBSET OF,117162,489609
11016,SUBSET OF,104979,489610
11016,SUBSET OF,104764,489611
11209,SUBSET OF,104922,489612
11209,SUBSET OF,119453,489613
11574,SUBSET OF,104846,489614
12478,SUBSET OF,104742,489615
10515,SUBSET OF,104761,489618
10515,SUBSET OF,108125,489619
10515,SUBSET OF,108126,489620
100486,SUBSET OF,117187,489621
100486,SUBSET OF,108413,489622
100597,SUBSET OF,109655,489623
20130,SUBSET OF,119440,489624
20130,SUBSET OF,120517,489625
20130,SUBSET OF,121063,489626
20130,SUBSET OF,119869,489627
20130,SUBSET OF,118351,489628
20130,SUBSET OF,119439,489629
20130,SUBSET OF,119438,489630
20130,SUBSET OF,119870,489631
30013,SUBSET OF,117746,489632
30013,SUBSET OF,121052,489633
12791,SUBSET OF,104857,489637
11286,SUBSET OF,104975,489638
10553,SUBSET OF,105708,489639
20151,SUBSET OF,117108,489640
10013,SUBSET OF,106710,489641
10634,SUBSET OF,108131,489642
10634,SUBSET OF,117042,489643
10634,SUBSET OF,104692,489644
10634,SUBSET OF,108132,489645
10634,SUBSET OF,119324,489646
11631,SUBSET OF,105736,489647
100044,SUBSET OF,107946,489648
100044,SUBSET OF,104991,489649
20179,SUBSET OF,121055,489650
100639,SUBSET OF,108410,489654
11907,SUBSET OF,119728,489655
100428,SUBSET OF,119762,489656
10583,SUBSET OF,105761,489658
10583,SUBSET OF,104872,489659
10583,SUBSET OF,104735,489660
12993,SUBSET OF,117159,489661
12993,SUBSET OF,109750,489662
12812,SUBSET OF,119761,489663
100148,SUBSET OF,117027,489664
100148,SUBSET OF,117154,489665
100148,SUBSET OF,109083,489666
10841,SUBSET OF,104838,489667
12569,SUBSET OF,104975,489668
10945,SUBSET OF,104681,489669
10649,SUBSET OF,104873,489670
12154,SUBSET OF,104706,489671
11573,SUBSET OF,119844,489672
11573,SUBSET OF,105053,489673
11573,SUBSET OF,105100,489674
10871,SUBSET OF,119728,489676
100410,SUBSET OF,119383,489678
100410,SUBSET OF,120618,489679
100416,SUBSET OF,105738,489680
10028,SUBSET OF,104930,489683
101259,SUBSET OF,119346,489684
20139,SUBSET OF,117179,489685
20139,SUBSET OF,117708,489686
101055,SUBSET OF,120249,489688
101055,SUBSET OF,120271,489689
11439,SUBSET OF,104838,489691
11439,SUBSET OF,118281,489692
11439,SUBSET OF,118280,489693
11439,SUBSET OF,118282,489694
11439,SUBSET OF,104301,489696
100315,SUBSET OF,116900,489697
100315,SUBSET OF,120296,489698
100315,SUBSET OF,119706,489699
20073,SUBSET OF,119703,489700
100949,SUBSET OF,119336,489701
100933,SUBSET OF,120628,489702
100933,SUBSET OF,109545,489703
100933,SUBSET OF,120270,489704
100168,SUBSET OF,104730,489705
18080,SUBSET OF,105639,489708
100876,SUBSET OF,119424,489709
100876,SUBSET OF,117131,489710
101019,SUBSET OF,120113,489711
101019,SUBSET OF,120259,489712
101019,SUBSET OF,120114,489713
101019,SUBSET OF,121124,489714
101032,SUBSET OF,117078,489716
101035,SUBSET OF,120786,489717
101035,SUBSET OF,117060,489718
101035,SUBSET OF,108139,489719
101035,SUBSET OF,117067,489720
103157,SUBSET OF,120123,489722
103039,SUBSET OF,117752,489723
101287,SUBSET OF,116867,489724
102971,SUBSET OF,105578,489725
103142,SUBSET OF,117714,489731
102403,SUBSET OF,117104,489733
103947,SUBSET OF,117080,489734
104103,SUBSET OF,105507,489736
104103,SUBSET OF,117062,489737
10598,SUBSET OF,104732,489739
11970,SUBSET OF,104720,489740
103862,SUBSET OF,117182,489741
103619,SUBSET OF,119702,489742
103467,SUBSET OF,119393,489743
103467,SUBSET OF,108119,489744
104824,SUPERSET OF,12865,489745
104824,SUPERSET OF,104835,489746
104824,SUPERSET OF,12546,489747
104824,SUPERSET OF,116997,489748
104824,SUPERSET OF,12102,489749
104824,SUPERSET OF,117126,489750
104824,SUPERSET OF,12103,489751
104824,SUPERSET OF,117004,489752
104824,SUPERSET OF,117006,489753
104824,SUPERSET OF,104848,489754
104824,SUPERSET OF,11921,489755
104824,SUPERSET OF,11668,489756
104824,SUBSET OF,119767,489757
104824,OVERLAPS WITH,117725,489758
104824,SUPERSET OF,107932,489759
104824,SUPERSET OF,117726,489760
