predbind_id,activity_id,site_id,prediction_method,confidence
7699241,1451903,1466,Single domain,high
7699242,1451927,1133,Single domain,high
7699243,1452215,1248,Single domain,high
7699244,1452254,1378,Single domain,high
7699245,1452283,1415,Single domain,high
7699246,1452406,2004,Single domain,high
7699247,1452435,1221,Single domain,high
7699248,1452436,1221,Single domain,high
7699249,1452452,115,Single domain,high
7699250,1452530,2302,Single domain,high
7699251,1452624,482,Single domain,high
7699252,1452661,1378,Single domain,high
7699253,1452673,1481,Single domain,high
7699254,1437900,257,Single domain,high
7699255,1437909,1122,Single domain,high
7699256,1437914,1122,Single domain,high
7699257,1437933,1225,Single domain,high
7699258,1437943,2278,Single domain,high
7699259,1437947,2278,Single domain,high
7699260,1438049,1225,Single domain,high
7699261,1438185,2453,Multi domain,medium
7699262,1438226,620,Single domain,high
7699263,1438257,2278,Single domain,high
7699264,1438261,2278,Single domain,high
7699265,1438339,620,Single domain,high
7699266,1438370,108,Single domain,high
7699267,1438490,1103,Single domain,high
7699268,1438505,1103,Single domain,high
7699269,1438785,300,Single domain,high
7699270,1438959,1387,Single domain,high
7699271,1438979,1546,Single domain,high
7699272,1439034,1103,Single domain,high
7699273,1439205,2279,Single domain,high
7699274,1439211,2279,Single domain,high
7699275,1439511,500,Single domain,high
7699276,1439568,928,Single domain,high
7699277,1439606,1581,Multi domain,medium
7699278,1439685,620,Single domain,high
7699279,1439694,906,Single domain,high
7699280,1439697,928,Single domain,high
7699281,1440086,1015,Single domain,high
7699282,1440257,196,Single domain,high
7699283,1440264,1193,Single domain,high
7699284,1440282,1193,Single domain,high
7699285,1440287,514,Single domain,high
7699286,1440720,514,Single domain,high
7699287,1440773,1575,Single domain,high
7699288,1440779,728,Single domain,high
7699289,1440793,735,Single domain,high
7699290,1440805,735,Single domain,high
7699291,1440813,735,Single domain,high
7699292,1440882,1157,Single domain,high
7699293,1441130,1581,Multi domain,medium
7699294,1441224,1331,Single domain,high
7699295,1441328,1157,Single domain,high
7699296,1441339,728,Single domain,high
7699297,1441664,735,Single domain,high
7699298,1441726,196,Single domain,high
7699299,1442170,196,Single domain,high
7699300,1442183,196,Single domain,high
7699301,1442395,196,Single domain,high
7699302,1442405,196,Single domain,high
7699303,1442411,196,Single domain,high
7699304,1442414,196,Single domain,high
7699305,1442526,480,Single domain,high
7699306,1442530,500,Single domain,high
7699307,1442565,1245,Single domain,high
7699308,1442574,1245,Single domain,high
7699309,1442581,1245,Single domain,high
7699310,1442650,1415,Single domain,high
7699311,1442656,1415,Single domain,high
7699312,1442697,1575,Single domain,high
7699313,1442708,782,Single domain,high
7699314,1442778,268,Single domain,high
7699315,1442809,1245,Single domain,high
7699316,1442812,1245,Single domain,high
7699317,1442828,480,Single domain,high
7699318,1442830,480,Single domain,high
7699319,1442947,500,Single domain,high
7699320,1442982,392,Single domain,high
7699321,1443044,300,Single domain,high
7699322,1443063,928,Single domain,high
7699323,1443101,1245,Single domain,high
7699324,1443126,919,Single domain,high
7699325,1443128,919,Single domain,high
7699326,1443140,300,Single domain,high
7699327,1443146,300,Single domain,high
7699328,1443160,300,Single domain,high
7699329,1443244,1313,Single domain,high
7699330,1443247,919,Single domain,high
7699331,1443323,268,Single domain,high
7699332,1443331,268,Single domain,high
7699333,1443378,500,Single domain,high
7699334,1443383,1690,Single domain,high
7699335,1443407,2437,Single domain,high
7699336,1443415,2437,Single domain,high
7699337,1443441,899,Single domain,high
7699338,1443503,500,Single domain,high
7699339,1443542,2437,Single domain,high
7699340,1443543,2437,Single domain,high
7699341,1443550,1014,Single domain,high
7699342,1443562,55,Single domain,high
7699343,1443568,899,Single domain,high
7699344,1443633,1257,Single domain,high
7699345,1443667,1245,Single domain,high
7699346,1443767,1688,Single domain,high
7699347,1443804,157,Single domain,high
7699348,1443829,5,Single domain,high
7699349,1443946,1690,Single domain,high
7699350,1443975,2437,Single domain,high
7699351,1444025,899,Single domain,high
7699352,1444055,862,Single domain,high
7699353,1444195,1613,Single domain,high
7699354,1444200,1613,Single domain,high
7699355,1444244,1245,Single domain,high
7699356,1444255,1245,Single domain,high
7699357,1444287,637,Single domain,high
7699358,1444313,1415,Single domain,high
7699359,1444406,5,Single domain,high
7699360,1444947,1429,Single domain,high
