dosage_form,route,trade_name,approval_date,ad_type,oral,topical,parenteral,black_box_warning,applicant_full_name,innovator_company,product_id,nda_type
SOLUTION/DROPS,OPHTHALMIC,PAREDRINE,1982-01-01,DISCN,0,1,0,,PHARMICS INC,0.0,PRODUCT_000004_004,N
TABLET,ORAL,SULFAPYRIDINE,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_000159_001,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_001,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_002,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_003,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_004,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_005,N
INJECTABLE,INJECTION,LIQUAEMIN LOCK FLUSH,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_007,N
INJECTABLE,INJECTION,HEPARIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_008,N
INJECTABLE,INJECTION,HEPARIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_009,N
INJECTABLE,INJECTION,HEPARIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_010,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM PRESERVATIVE FREE,1986-04-11,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_011,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM PRESERVATIVE FREE,1986-04-11,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_012,N
INJECTABLE,INJECTION,LIQUAEMIN SODIUM PRESERVATIVE FREE,1986-04-11,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_000552_013,N
INJECTABLE,INJECTION,HISTAMINE PHOSPHATE,1982-01-01,DISCN,0,0,1,,ELI LILLY AND CO,0.0,PRODUCT_000734_001,N
INJECTABLE,INJECTION,HISTAMINE PHOSPHATE,1982-01-01,DISCN,0,0,1,,ELI LILLY AND CO,0.0,PRODUCT_000734_002,N
INJECTABLE,INJECTION,HISTAMINE PHOSPHATE,1982-01-01,DISCN,0,0,1,,ELI LILLY AND CO,0.0,PRODUCT_000734_003,N
TABLET,ORAL,BUTISOL SODIUM,1982-01-01,DISCN,1,0,0,0.0,MYLAN SPECIALTY LP,0.0,PRODUCT_000793_002,N
TABLET,ORAL,BUTISOL SODIUM,1982-01-01,DISCN,1,0,0,0.0,MYLAN SPECIALTY LP,1.0,PRODUCT_000793_003,N
TABLET,ORAL,BUTISOL SODIUM,1982-01-01,DISCN,1,0,0,0.0,MYLAN SPECIALTY LP,1.0,PRODUCT_000793_004,N
TABLET,ORAL,BUTISOL SODIUM,1982-01-01,DISCN,1,0,0,0.0,MYLAN SPECIALTY LP,0.0,PRODUCT_000793_005,N
INJECTABLE,INJECTION,DOCA,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0.0,PRODUCT_001104_001,N
TABLET,ORAL,GUANIDINE HYDROCHLORIDE,1982-01-01,DISCN,1,0,0,0.0,MERCK SHARP AND DOHME CORP,0.0,PRODUCT_001546_001,N
TABLET,ORAL,MENADIONE,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_002139_003,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_002,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_004,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_005,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_007,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_008,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_009,N
TABLET,ORAL,PROLOID,1982-01-01,DISCN,1,0,0,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_002245_010,N
INJECTABLE,INJECTION,INULIN AND SODIUM CHLORIDE,1982-01-01,DISCN,0,0,1,,ISO TEX DIAGNOSTICS INC,0.0,PRODUCT_002282_001,N
TABLET,ORAL,AMINOPHYLLIN,1982-01-01,DISCN,1,0,0,,GD SEARLE LLC,0.0,PRODUCT_002386_002,N
TABLET,ORAL,AMINOPHYLLIN,1982-01-01,DISCN,1,0,0,,GD SEARLE LLC,0.0,PRODUCT_002386_003,N
POWDER,TOPICAL,BENSULFOID,1982-01-01,DISCN,0,1,0,,WILLIAM P POYTHRESS AND CO INC,0.0,PRODUCT_002918_001,N
TABLET,ORAL,ORETON METHYL,1982-01-01,DISCN,1,0,0,,SCHERING CORP SUB SCHERING PLOUGH CORP,0.0,PRODUCT_003158_001,N
TABLET,ORAL,ORETON METHYL,1982-01-01,DISCN,1,0,0,,SCHERING CORP SUB SCHERING PLOUGH CORP,0.0,PRODUCT_003158_002,N
TABLET,"BUCCAL, SUBLINGUAL",METANDREN,1982-01-01,DISCN,0,1,0,,NOVARTIS PHARMACEUTICALS CORP,0.0,PRODUCT_003240_001,N
TABLET,"BUCCAL, SUBLINGUAL",METANDREN,1982-01-01,DISCN,0,1,0,,NOVARTIS PHARMACEUTICALS CORP,0.0,PRODUCT_003240_003,N
TABLET,"BUCCAL, SUBLINGUAL",METANDREN,1982-01-01,DISCN,0,1,0,,NOVARTIS PHARMACEUTICALS CORP,0.0,PRODUCT_003240_004,N
TABLET,"BUCCAL, SUBLINGUAL",METANDREN,1982-01-01,DISCN,0,1,0,,NOVARTIS PHARMACEUTICALS CORP,0.0,PRODUCT_003240_005,N
INJECTABLE,INJECTION,PITRESSIN TANNATE,1982-01-01,DISCN,0,0,1,,PARKE DAVIS DIV WARNER LAMBERT CO,0.0,PRODUCT_003402_001,N
CAPSULE,ORAL,DRISDOL,1982-01-01,RX,1,0,0,0.0,VALIDUS PHARMACEUTICALS LLC,1.0,PRODUCT_003444_001,N
INJECTABLE,INJECTION,SYNKAYVITE,1982-01-01,DISCN,0,0,1,,HOFFMANN LA ROCHE INC,0.0,PRODUCT_003718_004,N
INJECTABLE,INJECTION,SYNKAYVITE,1982-01-01,DISCN,0,0,1,,HOFFMANN LA ROCHE INC,0.0,PRODUCT_003718_006,N
INJECTABLE,INJECTION,SYNKAYVITE,1982-01-01,DISCN,0,0,1,,HOFFMANN LA ROCHE INC,0.0,PRODUCT_003718_008,N
TABLET,ORAL,SYNKAYVITE,1982-01-01,DISCN,1,0,0,,HOFFMANN LA ROCHE INC,0.0,PRODUCT_003718_010,N
INJECTABLE,INJECTION,THEELIN,1982-01-01,DISCN,0,0,1,,PARKEDALE PHARMACEUTICALS INC,0.0,PRODUCT_003977_001,N
INJECTABLE,INJECTION,THEELIN,1982-01-01,DISCN,0,0,1,,PARKEDALE PHARMACEUTICALS INC,0.0,PRODUCT_003977_002,N
INJECTABLE,INJECTION,THEELIN,1982-01-01,DISCN,0,0,1,,PARKEDALE PHARMACEUTICALS INC,0.0,PRODUCT_003977_003,N
"TABLET, DELAYED RELEASE",ORAL,DIETHYLSTILBESTROL,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_004039_002,N
"TABLET, DELAYED RELEASE",ORAL,DIETHYLSTILBESTROL,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_004039_003,N
"TABLET, DELAYED RELEASE",ORAL,DIETHYLSTILBESTROL,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_004039_004,N
"TABLET, DELAYED RELEASE",ORAL,DIETHYLSTILBESTROL,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_004039_005,N
"TABLET, DELAYED RELEASE",ORAL,DIETHYLSTILBESTROL,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0.0,PRODUCT_004039_006,N
SUPPOSITORY,VAGINAL,DIETHYLSTILBESTROL,1982-01-01,DISCN,0,1,0,,ELI LILLY AND CO,0.0,PRODUCT_004040_001,N
