activity_id,bei,sei,le,lle
31864,14.06,5.56,0.26,1.3
31866,9.69,4.23,0.18,-0.63
31868,9.94,6.93,0.2,1.13
31870,10.18,6.12,0.2,2.45
31872,13.05,8.65,0.25,2.47
31889,17.52,6.06,0.59,4.7
31890,24.0,8.3,0.81,6.63
31891,21.96,7.59,0.74,6.03
31892,24.49,8.47,0.83,6.78
31893,24.51,5.2,0.56,8.65
31894,25.94,5.5,0.59,9.13
31895,22.12,4.69,0.51,7.85
31896,25.94,5.5,0.59,9.13
31909,20.33,4.53,0.38,3.2
31964,23.22,13.99,0.43,4.34
31965,23.15,13.95,0.43,4.32
31991,15.45,6.53,0.28,1.55
32022,28.1,15.87,0.56,4.19
32023,17.73,12.13,0.34,2.17
32025,23.09,13.22,0.42,3.99
32027,22.53,12.34,0.41,3.88
32034,9.19,3.31,0.17,8.01
32036,7.78,2.8,0.15,6.88
32038,8.69,3.13,0.16,7.61
32049,15.67,7.35,0.3,3.42
32060,14.0,7.86,0.26,1.49
32083,26.41,12.49,0.5,5.8
32088,23.23,18.35,0.42,3.15
32090,26.11,15.59,0.52,3.69
32111,14.63,15.53,0.26,1.64
32112,15.34,16.28,0.28,1.88
32113,22.48,23.87,0.4,4.33
32117,12.68,6.05,0.24,1.44
32120,14.71,5.92,0.28,2.71
32121,16.34,6.58,0.31,3.52
32123,8.9,5.41,0.17,-1.47
32124,9.48,8.86,0.18,-4.45
32125,7.06,6.6,0.14,-6.62
32127,9.1,3.99,0.18,2.51
32130,11.77,3.35,0.23,7.6
32131,9.44,2.68,0.18,6.15
32132,9.35,2.66,0.18,6.09
32133,11.57,3.29,0.22,7.48
32134,24.05,27.15,0.44,4.05
32135,32.0,36.13,0.58,6.28
32143,10.92,5.83,0.21,-0.45
32153,34.66,31.26,0.72,5.26
32154,31.07,28.02,0.64,4.5
32156,26.37,34.59,0.53,3.53
32157,19.24,25.24,0.39,1.33
32169,15.97,9.23,0.3,1.7
32170,13.96,6.01,0.28,6.05
32178,10.6,3.51,0.22,4.85
32179,8.69,2.94,0.16,1.59
32187,14.35,8.53,0.26,2.11
32188,18.4,10.93,0.34,4.12
32189,19.8,11.77,0.36,4.82
32192,19.35,6.17,0.37,6.73
32193,19.35,6.17,0.37,6.73
32195,8.25,1.93,0.18,4.34
32198,17.16,7.45,0.32,5.22
32200,12.13,5.26,0.22,2.58
32205,13.2,4.86,0.25,3.61
32208,20.03,11.22,0.42,4.11
32209,20.03,11.22,0.42,4.11
32210,16.78,11.75,0.34,2.49
32211,16.77,11.75,0.34,2.49
32212,20.38,9.21,0.42,4.2
32213,20.37,9.21,0.42,4.2
32223,18.49,17.43,0.36,0.9
32224,18.1,17.06,0.35,0.73
32225,17.97,16.93,0.35,0.67
32226,11.59,10.92,0.22,-2.13
32227,11.96,11.27,0.23,-1.96
32243,15.28,7.05,0.29,3.21
32244,15.1,6.97,0.29,3.11
32253,8.94,3.39,0.17,1.22
32254,19.63,7.94,0.37,3.83
32260,19.25,8.93,0.37,2.94
32262,12.46,5.78,0.24,0.33
32267,14.02,6.03,0.27,3.16
32276,24.06,11.53,0.44,4.11
32277,15.44,10.09,0.3,2.01
32291,9.65,3.24,0.22,2.08
32294,11.67,8.64,0.21,-1.32
32295,17.33,6.29,0.32,4.51
32296,10.87,3.94,0.2,1.19
32297,15.11,5.48,0.28,3.36
32299,18.02,8.36,0.33,3.21
32300,12.56,5.83,0.23,0.57
32301,16.15,7.5,0.3,2.31
32302,17.08,8.15,0.31,2.6
32303,11.35,5.42,0.21,-0.24
32304,15.88,7.58,0.29,2.01
32315,19.86,20.42,0.39,1.79
32316,16.53,17.0,0.32,0.79
32317,17.91,18.41,0.35,1.21
32318,14.65,15.06,0.29,0.23
32320,16.16,20.48,0.31,-0.14
32321,15.63,19.82,0.3,-0.33
32322,15.39,19.52,0.3,-0.42
32323,14.29,18.12,0.28,-0.83
32326,10.78,5.51,0.2,0.75
32327,12.04,6.16,0.23,1.24
32328,10.83,5.54,0.21,0.77
32329,11.29,5.77,0.21,0.95
32330,18.5,10.39,0.33,1.26
32331,16.0,8.99,0.29,0.34
32332,15.98,8.98,0.29,0.33
32335,13.9,7.81,0.25,-0.44
32336,14.76,8.29,0.27,-0.12
32340,17.68,13.04,0.36,1.38
32342,8.78,4.81,0.16,-0.88
32344,13.27,8.48,0.25,2.65
32345,13.93,8.7,0.26,3.1
32346,3.29,,,
32347,3.74,,,
32349,6.16,,,
32350,20.13,8.24,0.36,4.86
32355,18.37,10.63,0.34,4.2
32356,17.0,9.83,0.31,3.58
32389,18.54,15.7,0.36,3.54
32391,16.95,14.35,0.33,2.79
32393,15.23,13.22,0.29,2.02
32394,14.3,12.41,0.27,1.56
32401,8.51,2.98,0.16,5.52
32404,36.21,38.17,0.68,5.59
32405,24.98,11.25,0.48,3.25
32407,26.91,40.73,0.49,3.88
32408,24.98,37.81,0.46,3.29
32410,14.14,4.23,0.28,4.16
32420,17.16,14.48,0.33,0.59
32435,15.51,10.26,0.3,4.04
32436,16.65,11.01,0.32,4.54
