assay_param_id,assay_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments
3710880,1640162,assay_method,,,,SPR,assay_method,,,,SPR,
3710881,1640162,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3710882,1640162,fitting_model,,,,1:1 + mass transport,fitting_model,,,,1:1 + mass transport,
3710883,1640162,fitting_parameter_offset,,,,constant,fitting_parameter_offset,,,,constant,
3710884,1640162,fitting_parameter_rmax,,,,global,fitting_parameter_rmax,,,,global,
3710885,1640162,immobilization_buffer_composition,,,,"HBSN 7,4",immobilization_buffer_composition,,,,"HBSN 7,4",
3710886,1640162,immobilization_chip_used,,,,CM5,immobilization_chip_used,,,,CM5,
3710887,1640162,immobilization_contact_time,=,60.0,s,,immobilization_contact_time,=,60.0,s,,
3710888,1640162,immobilization_flow_rate,=,30.0,uL/min,,immobilization_flow_rate,=,30.0,uL/min,,
3710889,1640162,immobilization_method,,,,Amine coupling,immobilization_method,,,,Amine coupling,
3710890,1640162,immobilization_ph,=,4.5,,,immobilization_ph,=,4.5,,,
3710891,1640162,immobilization_temperature,=,25.0,degree C,,immobilization_temperature,=,25.0,degree C,,
3710892,1640162,instrument,,,,Biacore 4000,instrument,,,,Biacore 4000,
3710893,1640162,protein_molecular_weight,=,29.88,kDa,,protein_molecular_weight,=,29.88,kDa,,
3710894,1640162,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3710895,1640162,reference1_fraction_active,=,80.5,%,,reference1_fraction_active,=,80.5,%,,
3710896,1640162,reference1_molecular_weight,=,422.0,g/mol,,reference1_molecular_weight,=,422.0,g/mol,,
3710897,1640162,reference1_name,,,,"5-[4-(2-Fluoro-phenyl)-5-oxo-4,5-dihydro-1H-[1,2,4]triazol-3-yl]-2,4-dihydroxy-N-methyl-N-propyl-benzenesulfonamide",reference1_name,,,,"5-[4-(2-Fluoro-phenyl)-5-oxo-4,5-dihydro-1H-[1,2,4]triazol-3-yl]-2,4-dihydroxy-N-methyl-N-propyl-benzenesulfonamide",
3710898,1640162,reference1_ru_max,=,13.0,RU,,reference1_ru_max,=,13.0,RU,,
3710899,1640162,regeneration_contact_time,=,30.0,s,,regeneration_contact_time,=,30.0,s,,
3710900,1640162,regeneration_ph,=,8.8,,,regeneration_ph,=,8.8,,,
3710901,1640162,regeneration_solution,,,,100mM NaHCO3,regeneration_solution,,,,100mM NaHCO3,
3710902,1640162,regeneration_stabilization_period,=,0.0,s,,regeneration_stabilization_period,=,0.0,s,,
3710903,1640162,sample_association_time,=,120.0,s,,sample_association_time,=,120.0,s,,
3710904,1640162,sample_buffer_composition,,,,"30 mM HEPES pH 7.5; 150 mM NaCl; 1mM DTT, 0,05% Tween 20, 0,1mM EDTA",sample_buffer_composition,,,,"30 mM HEPES pH 7.5; 150 mM NaCl; 1mM DTT, 0,05% Tween 20, 0,1mM EDTA",
3710905,1640162,sample_dissociation_time,=,600.0,s,,sample_dissociation_time,=,600.0,s,,
3710906,1640162,sample_flow_rate,=,30.0,uL/min,,sample_flow_rate,=,30.0,uL/min,,
3710907,1640162,sample_ph,=,7.5,,,sample_ph,=,7.5,,,
3710908,1640162,sample_temperature,=,25.0,degree C,,sample_temperature,=,25.0,degree C,,
3710909,1640162,setup_type,,,,Standard (immobilized protein-target),setup_type,,,,Standard (immobilized protein-target),
3710910,1640162,software,,,,Biacore 4000 Evaluation,software,,,,Biacore 4000 Evaluation,
3710911,1640162,target_density,=,1200.0,RU,,target_density,=,1200.0,RU,,
3710912,1640163,assay_method,,,,Radioligand,assay_method,,,,Radioligand,
3710913,1640163,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3710914,1640163,radioligand_koff,=,0.0002303,s-1,,radioligand_koff,=,0.0002303,s-1,,
3710915,1640163,radioligand_kon,=,900000000.0,M-1 s-1,,radioligand_kon,=,900000000.0,M-1 s-1,,
3710916,1640163,radioligand_name,,,,[3H]ZM241385,radioligand_name,,,,[3H]ZM241385,
3710917,1640163,reference_to_publication,=,,,PMC3402809,reference_to_publication,=,,,PMC3402809,
3710918,1640163,regeneration_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",regeneration_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",
3710919,1640163,regeneration_ph,=,7.4,,,regeneration_ph,=,7.4,,,
3710920,1640163,regeneration_temperature,=,5.0,degree C,,regeneration_temperature,=,5.0,degree C,,
3710921,1640163,sample_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",sample_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",
3710922,1640163,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3710923,1640163,sample_temperature,=,5.0,degree C,,sample_temperature,=,5.0,degree C,,
3710924,1640164,assay_method,,,,Radioligand,assay_method,,,,Radioligand,
3710925,1640164,expression_host,,,,Mammalian cells,expression_host,,,,Mammalian cells,
3710926,1640164,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3710927,1640164,radioligand_koff,=,0.0035,s-1,,radioligand_koff,=,0.0035,s-1,,
3710928,1640164,radioligand_kon,=,12000000000.0,M-1 s-1,,radioligand_kon,=,12000000000.0,M-1 s-1,,
3710929,1640164,radioligand_name,,,,[3H]DPCPX,radioligand_name,,,,[3H]DPCPX,
3710930,1640164,reference_to_publication,=,,,PMID:23093571,reference_to_publication,=,,,PMID:23093571,
3710931,1640164,regeneration_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",regeneration_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",
3710932,1640164,regeneration_ph,=,7.4,,,regeneration_ph,=,7.4,,,
3710933,1640164,regeneration_temperature,=,25.0,degree C,,regeneration_temperature,=,25.0,degree C,,
3710934,1640164,sample_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",sample_buffer_composition,,,,"25 mM Tris-HCl, 5 mM MgCl2, 0.1% (w/v) CHAPS",
3710935,1640164,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3710936,1640164,sample_temperature,=,25.0,degree C,,sample_temperature,=,25.0,degree C,,
3710937,1640165,assay_method,,,,SPR,assay_method,,,,SPR,
3710938,1640165,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3710939,1640165,fitting_model,,,,1:1 + mass transport,fitting_model,,,,1:1 + mass transport,
3710940,1640165,fitting_parameter_offset,,,,constant,fitting_parameter_offset,,,,constant,
3710941,1640165,fitting_parameter_rmax,,,,global,fitting_parameter_rmax,,,,global,
3710942,1640165,immobilization_buffer_composition,,,,"HBSN 7,4",immobilization_buffer_composition,,,,"HBSN 7,4",
3710943,1640165,immobilization_chip_used,,,,CM5,immobilization_chip_used,,,,CM5,
3710944,1640165,immobilization_contact_time,=,60.0,s,,immobilization_contact_time,=,60.0,s,,
3710945,1640165,immobilization_flow_rate,=,10.0,uL/min,,immobilization_flow_rate,=,10.0,uL/min,,
