prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
257,PRODUCT_050805_001,8394406,2024-04-07,0,1,U-925,0,2013-03-25
259,PRODUCT_050808_008,8268804,2025-06-24,0,0,U-1078,0,
260,PRODUCT_050808_007,7919483,2027-03-07,0,0,U-1078,0,
262,PRODUCT_050808_006,8268804,2025-06-24,0,0,U-1078,0,
264,PRODUCT_050808_003,7790705,2025-06-24,0,0,U-1078,0,
265,PRODUCT_050808_001,8252776,2025-06-24,0,0,U-124,0,2012-08-28
268,PRODUCT_050819_001,8663699,2029-06-03,0,0,U-124,0,2014-03-06
269,PRODUCT_050684_004,6900184,2023-04-14,0,1,U-282,0,
270,PRODUCT_050684_001,8133883,2023-04-14,0,1,U-282,0,2012-04-11
282,PRODUCT_201280_001,8178541,2023-08-12,0,0,U-1245,0,2012-06-08
285,PRODUCT_201281_003,8119648,2023-08-12,0,0,U-802,0,
287,PRODUCT_201655_004,8309060,2023-11-20,0,1,,0,
288,PRODUCT_201655_004,8075872,2023-11-20,0,1,,0,
289,PRODUCT_201655_004,8309122,2023-02-04,0,1,,0,
290,PRODUCT_201655_002,8192722,2025-09-15,0,1,,0,
291,PRODUCT_201655_001,8329216,2023-02-04,0,1,,0,2012-12-11
293,PRODUCT_201699_001,7378508,2027-07-31,1,1,,0,2011-08-29
294,PRODUCT_201739_002,8425462,2024-11-23,0,1,,0,
295,PRODUCT_201922_005,8268804,2025-06-24,0,0,U-124,0,
296,PRODUCT_201922_003,7541347,2027-04-02,0,0,U-917,0,
297,PRODUCT_201922_003,7919483,2027-03-07,0,0,U-124,0,
299,PRODUCT_202008_003,8506929,2027-04-30,1,1,U-1423,0,
300,PRODUCT_202008_003,7687052,2027-04-30,1,1,,0,
301,PRODUCT_202008_002,7687052,2027-04-30,1,1,,0,
302,PRODUCT_202022_001,7638522,2023-04-14,0,1,,0,2011-06-16
307,PRODUCT_200533_005,7994364,2025-06-27,1,1,U-1276,0,
308,PRODUCT_200533_005,8309060,2023-11-20,0,1,U-1276,0,
310,PRODUCT_200533_003,7994364,2025-06-27,1,1,U-1276,0,
313,PRODUCT_200533_001,8075872,2023-11-20,0,1,,0,2012-01-09
328,PRODUCT_205787_001,8425462,2024-11-23,0,1,,0,2014-05-23
329,PRODUCT_205787_001,8231573,2028-11-25,0,1,,0,2014-05-23
330,PRODUCT_205787_001,8021344,2029-11-02,0,1,,0,2014-05-23
332,PRODUCT_205060_001,7960370,2026-12-20,0,1,,0,2014-06-03
334,PRODUCT_202570_001,8217057,2029-11-06,1,1,,0,2012-07-31
337,PRODUCT_202714_001,8207127,2025-04-14,0,0,U-1260,0,2012-08-09
338,PRODUCT_202714_001,8207125,2025-04-14,1,1,,0,2012-08-09
339,PRODUCT_202714_001,7737112,2027-12-07,0,1,,0,2012-08-09
342,PRODUCT_202799_008,7084245,2024-05-12,1,1,U-1238,0,
343,PRODUCT_202799_008,7414105,2024-05-12,1,1,U-1238,0,
344,PRODUCT_202799_005,7528104,2024-05-12,1,1,,0,
345,PRODUCT_202799_004,7528104,2024-05-12,1,1,,0,
346,PRODUCT_202799_003,7084245,2024-05-12,1,1,U-1238,0,
347,PRODUCT_202799_003,7550433,2026-06-02,0,0,U-1238,0,
348,PRODUCT_202799_002,7414105,2024-05-12,1,1,U-1238,0,
349,PRODUCT_202799_001,7550433,2026-06-02,0,0,U-1238,0,2012-04-25
350,PRODUCT_202799_001,7919118,2024-05-12,1,1,,0,2012-04-25
351,PRODUCT_202810_002,8617600,2027-04-13,0,1,,0,
352,PRODUCT_202810_001,8617600,2027-04-13,0,1,,0,
355,PRODUCT_202811_002,7704947,2024-01-28,1,1,,0,
356,PRODUCT_202811_002,7745409,2024-01-28,1,1,,0,
357,PRODUCT_202811_001,8110553,2024-01-28,0,0,U-1278,0,2012-09-18
358,PRODUCT_202811_001,7704947,2024-01-28,1,1,,0,2012-09-18
359,PRODUCT_202833_002,8536163,2026-12-18,0,0,U-1440,0,2013-10-15
363,PRODUCT_202833_001,8716271,2026-12-18,0,0,U-1440,0,2014-05-28
364,PRODUCT_202834_001,6949571,2024-06-08,1,1,U-106,0,2012-11-19
367,PRODUCT_202895_001,8518987,2024-02-16,1,1,,0,2013-09-18
368,PRODUCT_203045_002,7754731,2029-03-11,1,1,U-257,0,
370,PRODUCT_203168_001,8754131,2024-01-16,0,1,,0,2014-06-30
371,PRODUCT_203188_001,8754224,2026-12-28,1,1,,0,2014-07-17
375,PRODUCT_203341_002,7767678,2026-11-23,1,1,,0,
376,PRODUCT_203341_001,7767678,2026-11-23,1,1,,0,2012-09-25
377,PRODUCT_203389_001,8026284,2027-09-22,0,0,U-1399,0,2013-05-24
381,PRODUCT_203469_002,8114874,2027-01-24,1,1,,0,
382,PRODUCT_203505_001,8772353,2024-02-13,0,0,U-1369,0,2014-07-23
388,PRODUCT_204353_001,8785403,2024-07-30,0,1,,0,2014-09-04
389,PRODUCT_204353_003,7943582,2029-02-26,1,1,U-493,0,2014-09-04
393,PRODUCT_203791_001,8791127,2027-03-23,0,1,U-1460,0,2014-08-06
394,PRODUCT_203858_003,7932268,2027-08-19,0,0,U-1316,0,
395,PRODUCT_203858_002,7932268,2027-08-19,0,0,U-1316,0,
396,PRODUCT_203858_001,8618135,2025-03-07,0,0,U-1316,0,2014-01-22
402,PRODUCT_204026_001,8673939,2023-05-15,0,0,U-1360,0,2014-04-09
403,PRODUCT_204026_001,8828427,2031-06-21,1,1,,0,2014-09-29
404,PRODUCT_204042_002,7943582,2029-02-26,1,1,U-493,0,2013-04-16
406,PRODUCT_204114_001,8580304,2032-01-28,0,1,,0,
408,PRODUCT_204275_001,RE44874,2023-03-23,1,1,U-1548,0,2014-06-27
409,PRODUCT_204275_001,8746242,2030-10-11,0,1,,0,2014-07-08
414,PRODUCT_204516_001,8658663,2029-04-06,1,1,U-904,0,2014-03-04
416,PRODUCT_201292_003,8545884,2029-12-19,0,1,,0,2013-10-28
418,PRODUCT_204824_003,8480631,2030-03-19,0,1,U-1442,0,
421,PRODUCT_204824_004,8562564,2026-01-24,0,1,,0,2013-11-04
422,PRODUCT_204824_001,8579865,2030-03-19,0,1,U-1442,0,2013-11-21
423,PRODUCT_204569_002,7951797,2029-11-20,1,1,U-620,0,2014-09-10
424,PRODUCT_204569_003,7951797,2029-11-20,1,1,U-620,0,2014-09-10
426,PRODUCT_203496_002,8497393,2028-12-15,1,0,,1,2014-01-09
433,PRODUCT_204168_003,RE43879,2026-01-11,0,0,U-839,0,2013-08-15
434,PRODUCT_204168_001,8481598,2031-03-02,0,0,U-839,0,2013-08-15
435,PRODUCT_205776_001,8664231,2029-06-01,0,0,U-1442,0,2014-07-31
436,PRODUCT_205122_003,8652527,2033-03-19,0,1,,0,2014-03-12
437,PRODUCT_022219_001,8338395,2027-05-08,0,0,U-1500,0,
439,PRODUCT_204031_001,8394408,2029-03-11,0,1,,0,2014-04-03
440,PRODUCT_205437_003,7208516,2023-03-19,0,0,U-1505,0,2014-04-15
441,PRODUCT_205437_002,8455536,2023-03-19,0,0,U-1505,0,2014-04-15
442,PRODUCT_205437_001,7208516,2023-03-19,0,0,U-1505,0,2014-04-15
443,PRODUCT_205123_001,8741926,2026-07-28,1,0,U-1467,0,2014-07-01
444,PRODUCT_205786_001,7754731,2029-03-11,1,1,U-257,0,2014-01-16
447,PRODUCT_203137_001,7351401,2023-01-24,1,1,U-336,0,2014-03-28
451,PRODUCT_205098_001,7814943,2027-11-19,0,1,U-1461,0,
453,PRODUCT_202293_002,8685934,2030-05-26,0,0,U-1522,0,2014-06-25
454,PRODUCT_202293_002,8221786,2028-03-21,0,1,,0,2014-02-05
455,PRODUCT_202293_001,8361972,2028-03-21,0,0,U-493,0,2014-02-05
456,PRODUCT_204623_001,8563613,2027-10-17,0,1,U-1488,0,2014-02-25
458,PRODUCT_204629_001,7579449,2028-08-01,1,0,,0,2014-08-15
462,PRODUCT_202057_001,8293728,2030-02-09,0,0,U-1287,0,
463,PRODUCT_202057_001,8314086,2030-02-09,0,0,U-1287,0,
464,PRODUCT_202057_001,8377920,2030-02-09,0,0,U-1287,0,
465,PRODUCT_202057_001,8617593,2030-04-29,0,0,U-1478,0,2014-01-14
466,PRODUCT_202057_001,8617594,2030-04-29,0,0,U-1287,0,
467,PRODUCT_202088_003,8440170,2029-03-14,0,1,,0,
468,PRODUCT_202100_001,8778390,2031-02-15,0,1,U-1543,0,2014-08-04
477,PRODUCT_202236_001,8163723,2023-08-29,0,0,U-81,0,2012-05-11
478,PRODUCT_202236_001,8163723,2023-08-29,0,0,U-707,0,2012-05-11
479,PRODUCT_202258_001,7772178,2027-11-11,0,1,U-1128,0,2011-06-10
485,PRODUCT_202278_001,8470853,2027-04-12,0,0,U-1328,0,2013-07-11
490,PRODUCT_202429_001,7863288,2029-06-20,1,1,,0,
491,PRODUCT_202429_001,7504509,2026-10-22,1,1,,0,
496,PRODUCT_205858_001,RE44599,2025-07-21,0,0,U-1558,0,2014-08-21
497,PRODUCT_202317_001,8501818,2026-03-07,0,1,,0,2013-09-13
498,PRODUCT_201635_003,8298580,2027-11-16,0,1,U-106,0,2013-08-22
499,PRODUCT_205382_001,8183257,2025-07-27,0,0,U-1476,0,2014-05-21
500,PRODUCT_205382_001,8201556,2029-02-05,0,1,,0,2014-05-21
501,PRODUCT_203108_001,7396341,2026-10-10,0,1,U-1547,0,2014-08-15
620,PRODUCT_020832_007,6729786,2023-03-14,0,1,,0,
623,PRODUCT_020832_002,6729786,2023-03-14,0,1,,0,
