ass_cls_map_id,assay_id,assay_class_id
2363405,401,84
2382357,401,93
2399640,401,115
2363389,402,84
2382333,402,93
2398515,402,115
2363303,403,84
2382230,403,93
2392686,403,115
2390652,453,115
2491849,1054,322
2491441,1055,322
2491401,1056,322
2492043,1057,322
2491604,1058,322
2492089,1059,322
2491605,1586,322
2492193,1587,322
2491550,1660,322
2491382,1661,322
2492167,1662,322
2491816,1663,322
2431351,3153,149
2430144,3155,140
2430230,3157,140
2431334,3157,149
2429898,3194,140
2391043,4985,115
2415216,4985,119
2390654,5182,115
2401828,5183,115
2411865,5184,115
2397341,5185,115
2361760,5963,82
2363624,5963,85
2401827,5963,115
2362385,5964,82
2363656,5964,85
2410366,5964,115
2361063,5965,82
2363602,5965,85
2393230,5965,115
2360943,5966,82
2363599,5966,85
2392106,5966,115
2361214,5967,82
2363607,5967,85
2394931,5967,115
2363636,5969,85
2405147,5969,115
2363661,6348,85
2411864,6348,115
2424208,6348,119
2363594,6349,85
2390653,6349,115
2415052,6349,119
2408471,6353,115
2451829,6960,216
2408088,7319,115
2352219,8632,62
2354972,8633,62
2457462,8641,259
2456777,10227,259
2457114,10228,259
2457679,10229,259
2457378,10230,259
2456762,10231,259
2457008,10232,259
2457405,10387,259
2456973,10388,259
2456905,10389,259
2456750,10390,259
2519804,10814,538
2521057,10814,561
2519778,10815,538
2521039,10815,561
2519738,10816,538
2521017,10816,561
2458807,13108,266
2457420,13125,259
2458673,13125,266
2321173,20069,389
2408472,24479,115
2322242,26436,389
2448064,27497,210
2450036,27497,211
2348573,28238,55
2348519,28239,55
2455212,28350,216
2452615,28351,216
2451481,28893,216
2448224,28894,210
2391398,29677,115
2399641,29678,115
2518878,30649,514
2518693,30650,514
2518868,30651,514
2519073,30652,514
2519020,30653,514
2380697,34723,91
2381776,34723,92
2389436,34723,114
2405148,34723,115
2380791,34724,91
2381888,34724,92
2389635,34724,114
2407335,34724,115
2361417,34725,82
2381413,34725,92
2362187,34726,82
2381914,34726,92
2361244,34727,82
2381305,34727,92
2362073,34728,82
2381841,34728,92
2361245,34729,82
2381306,34729,92
2361216,34730,82
2381278,34730,92
2395107,34730,115
2361188,34731,82
2381267,34731,92
2362506,34732,82
2382093,34732,92
2360856,34733,82
2381084,34733,92
2361998,34734,82
2381777,34734,92
2361064,34735,82
2381192,34735,92
2362296,34736,82
2381981,34736,92
2361864,34737,82
2381682,34737,92
2361304,34738,82
2381337,34738,92
2361913,34739,82
2381716,34739,92
2361150,34740,82
2381246,34740,92
2361973,34741,82
2381762,34741,92
2361721,34742,82
2381589,34742,92
2380555,34744,91
2381613,34744,92
2401830,34744,115
2380451,34747,91
2381492,34747,92
2399643,34747,115
2380494,34748,91
2381545,34748,92
2400729,34748,115
2380146,34749,91
2381120,34749,92
2391590,34749,115
2380665,34750,91
2381738,34750,92
2404377,34750,115
2380464,34751,91
2381510,34751,92
2399988,34751,115
2380148,34752,91
2381123,34752,92
2391763,34752,115
2380813,34753,91
2381912,34753,92
2407707,34753,115
2380582,34754,91
2381643,34754,92
2402550,34754,115
2380297,34755,91
2381302,34755,92
2395466,34755,115
2380409,34756,91
2381445,34756,92
2398516,34756,115
2380940,34757,91
2382058,34757,92
2411109,34757,115
2380165,34758,91
2381144,34758,92
2392107,34758,115
2380682,34762,91
2381759,34762,92
2404776,34762,115
2380438,34874,91
2381478,34874,92
2399243,34874,115
2380308,34875,91
2381318,34875,92
2395855,34875,115
2380202,34876,91
2381190,34876,92
2393021,34876,115
2380722,34877,91
2381804,34877,92
2405506,34877,115
2380666,34878,91
2381739,34878,92
2404379,34878,115
2380466,34879,91
2381512,34879,92
2399990,34879,115
2380779,34880,91
2381873,34880,92
2406967,34880,115
2380092,34881,91
2381054,34881,92
2390299,34881,115
2380991,34882,91
2382122,34882,92
2412573,34882,115
2380269,34883,91
2381266,34883,92
2394737,34883,115
2380295,34884,91
2381299,34884,92
2395248,34884,115
2380583,34885,91
2381644,34885,92
2402551,34885,115
2380814,34886,91
2381913,34886,92
2407708,34886,115
2380195,34887,91
2381179,34887,92
2392865,34887,115
2380116,34888,91
2381085,34888,92
2391045,34888,115
2380738,34889,91
2381823,34889,92
2405873,34889,115
2380439,34890,91
2381479,34890,92
2399244,34890,115
2380270,34891,91
2381268,34891,92
2394738,34891,115
2380482,34892,91
2381532,34892,92
2400361,34892,115
2380467,34893,91
2381513,34893,92
2399991,34893,115
2380930,34894,91
2382044,34894,92
2410757,34894,115
2380966,34895,91
2382092,34895,92
2411645,34895,115
2380993,34896,91
2382124,34896,92
2412574,34896,115
2380100,34897,91
2381064,34897,92
2390657,34897,115
2380277,34898,91
2381279,34898,92
2395108,34898,115
2380584,34899,91
2381645,34899,92
2402552,34899,115
2380215,34900,91
2381207,34900,92
2393450,34900,115
2380956,34901,91
2382079,34901,92
2411505,34901,115
2380698,34902,91
2381778,34902,92
2405150,34902,115
2380278,34903,91
2381280,34903,92
2395109,34903,115
2380766,34904,91
2381859,34904,92
2406610,34904,115
2380349,35014,91
2381371,35014,92
2396988,35014,115
2380737,35015,91
2381822,35015,92
2405872,35015,115
2381036,35016,91
2382177,35016,92
2413604,35016,115
2381037,35017,91
2382178,35017,92
2413605,35017,115
2380864,35018,91
2381967,35018,92
2408837,35018,115
2380334,35019,91
2381352,35019,92
2396603,35019,115
2380885,35020,91
2381992,35020,92
2409591,35020,115
2380309,35021,91
2381319,35021,92
2395856,35021,115
2380216,35022,91
2381208,35022,92
2393622,35022,115
2380913,35033,91
2382026,35033,92
2389918,35033,114
2410367,35033,115
2380777,35034,91
2381871,35034,92
2389600,35034,114
2406966,35034,115
2380617,35035,91
2381680,35035,92
2389222,35035,114
2403294,35035,115
2380136,35036,91
2381106,35036,92
2388114,35036,114
2391399,35036,115
2380217,35044,91
2381209,35044,92
2380833,35045,91
2381934,35045,92
2380764,35046,91
2381856,35046,92
2380778,35047,91
2381872,35047,92
2380532,35048,91
2381587,35048,92
2380789,35049,91
2381885,35049,92
2380137,35050,91
2381107,35050,92
2380252,35051,91
2381247,35051,92
2380571,35052,91
2381630,35052,92
2380452,35053,91
2381493,35053,92
2380875,35054,91
2381979,35054,92
2380196,35173,91
2381181,35173,92
2380440,35174,91
2381480,35174,92
2380152,35175,91
2381127,35175,92
2380931,35176,91
2382045,35176,92
2410758,35176,115
2380556,35177,91
2381614,35177,92
2401831,35177,115
2380700,35178,91
2381780,35178,92
2405151,35178,115
2380792,35179,91
2381889,35179,92
2407336,35179,115
2380498,35180,91
2381549,35180,92
2400732,35180,115
2380701,35181,91
2381781,35181,92
2405152,35181,115
2380530,35182,91
2381585,35182,92
2401274,35182,115
2380943,35183,91
2382061,35183,92
2411112,35183,115
2380323,35184,91
2381338,35184,92
2396229,35184,115
2380669,35185,91
2381742,35185,92
2404381,35185,115
2380235,35186,91
2381228,35186,92
2393992,35186,115
2380219,35187,91
2381212,35187,92
2393624,35187,115
2380686,35188,91
2381764,35188,92
2404780,35188,115
2380169,35189,91
2381148,35189,92
2392112,35189,115
2380294,35212,91
2381298,35212,92
2380150,35213,91
2381125,35213,92
2380151,35214,91
2381126,35214,92
2380218,35292,91
2381211,35292,92
2393623,35292,115
2380426,35293,91
2381464,35293,92
2398869,35293,115
2380914,35294,91
2382027,35294,92
2410368,35294,115
2380866,35295,91
2381970,35295,92
2408838,35295,115
2380167,35296,91
2381146,35296,92
2392110,35296,115
2380468,35297,91
2381514,35297,92
2399992,35297,115
2380410,35301,91
2381446,35301,92
2380481,35302,91
2381530,35302,92
2380492,35303,91
2381543,35303,92
2380927,35304,91
2382041,35304,92
2380600,35305,91
2381663,35305,92
2380115,35306,91
2381083,35306,92
2380337,35307,91
2381355,35307,92
2380385,35308,91
2381412,35308,92
2380311,35309,91
2381321,35309,92
2380667,35310,91
2381740,35310,92
2380516,35311,91
2381569,35311,92
2380992,35312,91
2382123,35312,92
2380853,35313,91
2381955,35313,92
2408474,35313,115
2380750,35314,91
2381839,35314,92
2380684,35315,91
2381761,35315,92
2380941,35316,91
2382059,35316,92
2380751,35317,91
2381840,35317,92
2380231,35318,91
2381224,35318,92
2381038,35319,91
2382179,35319,92
2380495,35320,91
2381546,35320,92
2380496,35321,91
2381547,35321,92
2400730,35321,115
2380836,35322,91
2381937,35322,92
2408090,35322,115
2380425,35323,91
2381463,35323,92
2398867,35323,115
2380462,35324,91
2381507,35324,92
2399815,35324,115
2380926,35325,91
2382040,35325,92
2410754,35325,115
2380321,35326,91
2381335,35326,92
2380253,35327,91
2381248,35327,92
2380736,35328,91
2381821,35328,92
