usan_stem_id,stem,subgroup,annotation,stem_class,major_class
3341,-ac,,anti-inflammatory agents (acetic acid derivatives),suffix,
3342,-ac,-zolac,anti-inflammatory agents (acetic acid derivatives): anti-inflammatory; pyrazole acetic acid derivatives,suffix,
3343,-actant,,pulmonary surfactants,suffix,
3344,-adenant,,adenosine receptor antagonists,suffix,
3345,-adol,,analgesics (mixed opiate receptor agonists/antagonists),suffix,GPCR
3346,-adol-,,analgesics (mixed opiate receptor agonists/antagonists),infix,GPCR
3347,-adox,,antibacterials (quinoline dioxide derivatives),suffix,
3348,-afenone,,antiarrhythmics (propafenone derivatives),suffix,ion channel
3349,-afil,,phosphodiesterase type 5 inhibitors (PDE5) inhibitors,suffix,PDE
3350,-afil,-denafil,phosphodiesterase type 5 inhibitors (PDE5) inhibitors: (PDE5) inhibitors containing a sulfonamide moiety,suffix,
3351,-aj-,,antiarrhythmics (ajmaline derivatives),infix,ion channel
3352,-alap,,aldehyde traps,suffix,
3353,-alcap,,allosteric modulators of small-conductance calcium activated potassium (SK) channels,suffix,
3354,-aldrate,,antacid aluminum salts,suffix,
3355,-algron,,alpha1- and alpha2- adrenoreceptor agonists,suffix,GPCR
3356,-alol,,combined alpha and beta blockers,suffix,GPCR
3357,-amidine,,pentamidine derivatives/analogues,suffix,
3358,-amidis,,antimyloidotics,suffix,
3359,-ampa-,,ionotropic non-NMDA (N-methyl D-aspartate) glutamate receptors [AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor) and/or KA (kainite antagonist) receptors],infix,
3360,-ampa-,-ampanel,ionotropic non-NMDA (N-methyl D-aspartate) glutamate receptors [AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor) and/or KA (kainite antagonist) receptors]: antagonists,suffix,
3361,-ampa-,-ampator,ionotropic non-NMDA (N-methyl D-aspartate) glutamate receptors [AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor) and/or KA (kainite antagonist) receptors]: modulators,suffix,
3362,-andr-,,androgens,infix,NR
3363,-anib,,angiogenesis inhibitors,suffix,kinase
3364,-aniten,,"androgen receptor inhibitor, N-terminal domain inhibitor",suffix,
3365,-anserin,,serotonin 5-HT2 receptor antagonists,suffix,GPCR
3366,-antel,,anthelmintics (undefined group),suffix,
3367,-antel,-quantel,anthelmintics (undefined group): 2-deoxoparaherquamide A derivatives,suffix,
3368,-antrone,,"antineoplastics, anthraquinone derivatives",suffix,
3369,-apsel,,P-selectin antagonists,suffix,
3370,-apt-,,"aptamers, classical and mirror",infix,
3371,-arabine,,antineoplastics (arabinofuranosyl derivatives),suffix,
3372,aril-,,antiviral (arildone derivatives),prefix,
3373,-aril-,,antiviral (arildone derivatives),infix,
3374,-aril,,antiviral (arildone derivatives),suffix,
