sitecomp_id,site_id,component_id,domain_id,site_residues
2,1504,4968,2748.0,
5,1507,4767,3139.0,
6,636,3909,2702.0,
9,1300,3951,4003.0,
12,425,377,3376.0,
13,1508,148,3683.0,
15,1081,2461,4003.0,
19,1084,567,3032.0,
20,12,2231,2805.0,
24,437,1319,2739.0,
26,648,1773,2712.0,
27,26,3569,3546.0,
28,239,3876,4003.0,
30,244,4877,4377.0,
31,448,1185,2683.0,
33,32,2139,2720.0,
35,1100,3348,3032.0,
36,876,2254,2683.0,
38,33,2106,2683.0,
39,34,552,2683.0,
40,1104,3718,2928.0,
41,885,4083,2928.0,
42,460,4019,4420.0,
44,889,4436,2683.0,
45,664,4442,2753.0,
46,1339,5195,2690.0,
47,1341,4547,3093.0,
50,258,395,2712.0,
55,473,986,3683.0,
56,47,861,3280.0,
58,1130,1299,4003.0,
61,1553,1131,2683.0,
63,1556,1202,2683.0,
64,912,7,2683.0,
65,482,1690,2712.0,
66,56,1133,4003.0,
69,60,1074,2702.0,
70,61,1089,3376.0,
73,685,1270,2711.0,
74,687,2607,2702.0,
75,921,2543,2683.0,
76,1564,3212,2683.0,
77,690,2679,4003.0,
79,66,3065,2702.0,
81,1148,3890,2712.0,
82,67,3633,2926.0,
86,1151,4755,3348.0,
89,504,2094,3032.0,
90,930,4997,2683.0,
93,303,973,2683.0,
96,90,2153,2683.0,
97,710,2997,3200.0,
98,940,2859,3335.0,
99,518,3628,2683.0,
101,310,4010,2793.0,
104,949,5737,4003.0,
106,320,4240,2714.0,
109,1599,5744,2714.0,
113,1189,4962,2683.0,
114,111,2391,2720.0,
116,115,1387,2720.0,
121,530,1575,3376.0,
123,1608,1553,2683.0,
124,1195,2181,2683.0,
125,964,1164,4003.0,
127,116,181,4003.0,
128,736,1295,2683.0,
129,1610,1831,2776.0,
130,1198,2352,3683.0,
132,336,900,3112.0,
133,337,2661,4221.0,
134,1411,2707,2841.0,
136,738,1874,4003.0,
138,978,1400,2712.0,
139,1203,2761,2702.0,
140,1204,958,2739.0,
141,746,2520,2682.0,
142,1625,2891,2683.0,
143,541,3748,4003.0,
145,1423,4745,2683.0,
146,750,4383,4417.0,
147,1425,5091,2744.0,
148,133,3096,2720.0,
151,758,1042,2711.0,
153,1222,750,2973.0,
156,138,684,2683.0,
158,559,1939,2681.0,
161,141,3347,2683.0,
164,1000,3321,2828.0,
165,775,4812,2744.0,
167,1447,4048,2683.0,
169,1010,866,2683.0,
171,377,834,2683.0,
172,379,304,4003.0,
175,793,384,2782.0,
176,1666,120,4003.0,
178,1018,915,3665.0,
183,167,1797,2683.0,
185,803,1302,4003.0,
188,1677,554,2683.0,
189,1470,3268,2702.0,
190,181,3215,2683.0,
193,1471,3655,2916.0,
195,1686,5168,3458.0,
196,819,5608,2776.0,
197,1690,410,2712.0,
198,1045,217,2815.0,
199,1691,357,2739.0,
205,1698,2420,3683.0,
206,1701,3433,2805.0,
207,1487,2544,2683.0,
210,624,3455,2805.0,
211,1494,5264,4377.0,
213,1499,4616,2739.0,
214,1501,4679,3329.0,
217,1295,5092,2744.0,
218,1071,5709,2805.0,
220,841,4766,3139.0,
224,1080,2937,2683.0,
225,847,2932,3546.0,
226,9,873,2683.0,
228,1513,520,3458.0,
229,10,970,4003.0,
230,222,3406,2820.0,
231,852,527,2776.0,
232,11,3106,2776.0,
234,1089,1297,3162.0,
236,1090,2993,2696.0,
238,650,2728,2732.0,
239,651,2487,2682.0,
240,1094,3658,3796.0,
246,656,2389,2683.0,
247,1098,1940,3545.0,
250,249,3627,4003.0,
251,883,3520,2932.0,
253,1110,4483,2636.0,
254,1112,4117,3335.0,
258,893,270,2712.0,
260,467,784,2702.0,
261,1121,675,3032.0,
262,1122,94,2776.0,
266,670,1485,2836.0,
268,471,788,3399.0,
270,906,1695,2776.0,
272,53,2789,2805.0,
274,1133,566,2720.0,
278,1142,688,3112.0,
279,282,3386,2739.0,
280,1369,2840,2683.0,
281,922,3057,3112.0,
282,496,3066,2683.0,
283,497,3899,2702.0,
285,1380,215,2812.0,
287,1157,3114,2683.0,
291,1587,1190,3683.0,
292,1166,1962,2711.0,
295,1169,3216,4003.0,
297,1172,3449,4003.0,
298,94,3663,4221.0,
299,942,3489,2720.0,
300,1173,3733,4377.0,
302,96,4006,4003.0,
303,944,4197,2683.0,
305,723,5639,3098.0,
306,525,5777,3802.0,
308,725,4162,4377.0,
312,1185,670,2773.0,
313,1404,1353,2776.0,
315,960,1795,2682.0,
316,963,4957,2683.0,
317,1196,3113,2702.0,
321,330,1151,2702.0,
324,117,2369,2815.0,
327,1617,1625,2670.0,
329,1622,3346,3225.0,
330,1414,2939,2804.0,
331,124,3334,2682.0,
333,125,2855,2681.0,
334,344,3068,2859.0,
335,543,3798,2891.0,
337,1629,4481,2714.0,
338,990,403,4401.0,
339,1211,3177,2696.0,
340,134,1521,2739.0,
343,1436,1789,3032.0,
344,1637,145,4003.0,
346,766,1971,4003.0,
347,1638,151,2681.0,
348,996,1820,2744.0,
350,359,5118,2681.0,
351,997,3059,2937.0,
355,147,4307,2812.0,
357,568,4148,2744.0,
358,148,5351,3883.0,
363,570,5607,2776.0,
365,371,4733,2702.0,
367,574,4403,4350.0,
369,1450,255,4003.0,
370,1661,1214,2776.0,
373,159,930,2683.0,
374,791,5465,3338.0,
376,1245,371,2712.0,
377,1452,276,2836.0,
379,1457,1909,2834.0,
381,1250,2788,2702.0,
383,802,1268,2683.0,
384,1671,541,2891.0,
385,1029,126,3112.0,
387,588,1138,2712.0,
389,1037,1628,3032.0,
390,809,1564,2711.0,
392,1469,2392,2891.0,
394,812,3781,3399.0,
400,182,3801,2683.0,
402,606,5150,2714.0,
403,400,4867,2905.0,
410,1052,606,2739.0,
412,204,1346,2702.0,
413,1697,1308,3683.0,
414,1057,1280,3683.0,
415,1058,3342,2744.0,
417,1702,2062,2714.0,
418,1489,2838,2681.0,
422,1067,4840,3112.0,
423,1709,4846,3062.0,
424,1495,5781,2712.0,
425,833,4705,2805.0,
426,834,4756,3348.0,
428,1498,4390,2696.0,
429,632,4923,4377.0,
433,844,356,3377.0,
434,1077,281,4003.0,
435,7,1835,3719.0,
436,637,420,2677.0,
441,1515,2498,2683.0,
443,1518,37,2683.0,
444,645,2226,2683.0,
445,1087,2709,2891.0,
446,646,2001,2682.0,
447,225,1349,2712.0,
448,226,2298,2712.0,
449,1310,1325,2712.0,
450,434,2881,2773.0,
451,860,1475,2712.0,
452,1519,1734,2891.0,
453,230,1996,3376.0,
454,1091,660,2702.0,
456,233,2514,2682.0,
457,237,2890,2683.0,
458,25,3533,2683.0,
460,1524,4216,3366.0,
462,1095,5208,2854.0,
464,1097,2165,4003.0,
467,1326,1718,2681.0,
469,1533,2071,2702.0,
470,1332,2545,2683.0,
471,452,2523,2683.0,
472,1534,2998,3257.0,
473,659,3067,2720.0,
474,1335,1639,3200.0,
476,456,3548,4003.0,
477,881,2894,2683.0,
478,886,4362,2683.0,
479,251,4087,2702.0,
480,37,4094,2677.0,
481,1340,4591,3138.0,
482,665,4108,3102.0,
483,891,4520,2702.0,
485,1123,274,3376.0,
487,900,1760,2683.0,
494,479,189,2702.0,
496,1135,141,4003.0,
500,1560,1907,2683.0,
502,1139,1426,4003.0,
503,489,2311,2702.0,
513,287,3545,4003.0,
515,1374,3807,2683.0,
517,291,4088,2744.0,
519,1376,5724,3055.0,
521,71,4701,3376.0,
522,1571,4721,2696.0,
524,500,317,2712.0,
525,300,348,2702.0,
529,1577,2387,2702.0,
530,1579,3195,2677.0,
531,928,702,2776.0,
532,1158,708,2702.0,
533,1582,3245,2670.0,
536,83,555,2891.0,
540,708,3581,2683.0,
541,1588,3213,2683.0,
542,711,1811,2714.0,
545,521,4699,3237.0,
547,1177,4161,3055.0,
549,321,4646,2745.0,
550,1180,4659,3376.0,
552,110,1751,2712.0,
553,1188,422,3247.0,
555,1602,3133,2683.0,
557,331,907,3399.0,
558,971,5017,4003.0,
560,975,2589,2891.0,
563,741,1654,3683.0,
564,340,1777,2712.0,
565,980,2841,2683.0,
567,1419,2799,2683.0,
568,1627,3799,2696.0,
569,747,3401,4377.0,
574,1213,455,2720.0,
