warning_id,record_id,molregno,warning_type,warning_class,warning_description,warning_country,warning_year,efo_term,efo_id,efo_id_for_warning_class
1,1343079,2341159,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
2,1343079,2341159,Black Box Warning,metabolic toxicity,,United States,,,,EFO:0011054
3,1343079,2341159,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
4,2138986,1763543,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
5,1344548,237298,Black Box Warning,,,United States,,,,
11,1697433,1380836,Black Box Warning,,,United States,,,,
16,1343835,16450,Black Box Warning,misuse,,United States,,,,EFO:0011049
17,1343835,16450,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
26,1344915,169652,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
27,1344915,169652,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
35,1343689,83515,Black Box Warning,metabolic toxicity,,United States,,,,EFO:0011054
36,1343689,83515,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
37,1343689,83515,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
44,1695896,1380107,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
47,1343607,864943,Black Box Warning,,,United States,,,,
56,1344479,675582,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
57,1344479,675582,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
58,1344479,675582,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
61,1343431,674482,Black Box Warning,misuse,,United States,,,,EFO:0011049
64,1390871,675775,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
66,1344106,1926908,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
72,1344799,674836,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
81,1343324,435293,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
83,1344320,154051,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
88,1343608,2287105,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
89,1343608,2287105,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
98,1344376,630439,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
99,1343143,674915,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
106,1343950,155045,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
108,1344593,543,Black Box Warning,misuse,,United States,,,,EFO:0011049
