molregno,syn_type,molsyn_id,res_stem_id,synonyms
97,RESEARCH_CODE,1,152.0,CP-12299
97,FDA,4,,Prazosin
111,OTHER,6,,Zomepirac Sodium
115,USAN,11,,Nicotine
194,RESEARCH_CODE,51,152.0,CP-45899
194,FDA,52,,Sulbactam
198,RESEARCH_CODE,54,523.0,SC-58272
33055,USAN,55,,Piperacillin
207,FDA,60,,Tazobactam
223,OTHER,66,,Merafloxacin
224,RESEARCH_CODE,67,470.0,PD-117558
237,OTHER,68,,Amifloxacin
241,OTHER,70,,Ciloxan
4164,RESEARCH_CODE,80,,GYKI-52466
250,RESEARCH_CODE,90,522.0,SB-203580
453,RESEARCH_CODE,92,130.0,CGS-19281A
463,RESEARCH_CODE,93,517.0,Ro-481220
490,RESEARCH_CODE,94,94.0,BMS-182874
543,FDA,96,,Amphetamine
4181,RESEARCH_CODE,98,,NAN-190
4245,RESEARCH_CODE,99,,GYKI-53655
605,FDA,104,,Imipramine
605,OTHER,106,,Janimine
605,OTHER,107,,Pramine
605,OTHER,108,,Presamine
605,OTHER,109,,Tofranil
605,OTHER,110,,Tofranil-PM
634,RESEARCH_CODE,119,517.0,Ro-151310
669,RESEARCH_CODE,138,640.0,WIN-54954
729,RESEARCH_CODE,160,517.0,Ro-154513
775,OTHER,163,,Enisoprost
789,OTHER,165,,Lopressidone
789,FDA,168,,Metoprolol
789,OTHER,171,,Toprol-XL
793,OTHER,172,,Zidapamide
839,OTHER,173,,Dimecamine
860,USAN,179,,Diethylstilbestrol
868,RESEARCH_CODE,194,517.0,Ro-147437
892,USAN,200,,Carbachol
892,OTHER,202,,Carbacholine Chloride
906,RESEARCH_CODE,206,517.0,Ro-194603
70140,OTHER,207,,Vancoled
70140,OTHER,209,,Vancor
921,TRADE_NAME,214,,Phentytoin
921,OTHER,215,,Phenytek
921,OTHER,216,,Phenytex
941,OTHER,233,,Carzenide
941,OTHER,234,,Para-Carboxybenzenesulfonamide
947,RESEARCH_CODE,235,517.0,Ro-145975
996,OTHER,236,,Anafranil
996,FDA,237,,Clomipramine
1063,USAN,245,,Methoxsalen
1085,USAN,253,,Dichlorphenamide
366274,RESEARCH_CODE,258,386.0,MK-507
1090,OTHER,259,,Brolamfetamine
1096,USAN,263,,Ethoxzolamide
1124,USAN,273,,Methazolamide
1125,USAN,281,,Acetazolamide
1130,OTHER,284,,"2,4-Disulfamyltrifluoromethylaniline"
1148,FDA,287,,Mafenide
1159,USAN,295,,Sulfanilamide
1202,FDA,296,,Guanabenz
4398,SYSTEMATIC,301,,"Octadeca-9,12-Dienoic Acid"
4399,RESEARCH_CODE,304,237.0,FPL-55712
1216,OTHER,305,,Polytrim
1216,OTHER,306,,Primsol
4491,RESEARCH_CODE,308,,TQX-173
4904,RESEARCH_CODE,330,,RF-1461
1278,OTHER,347,,Cardizem
1278,OTHER,348,,Dilt-CD
1278,FDA,349,,Diltiazem
1278,OTHER,351,,Diltzac
1278,OTHER,353,,Tiamate
1278,OTHER,354,,Tiazac
1280,INN,370,,Acetylsalicylic Acid
1280,USAN,375,,Aspirin
1325,FDA,427,,Trifluoperazine
1354,FDA,430,,Betaxolol
1354,OTHER,432,,Betoptic
1354,OTHER,433,,Kerledex
1354,OTHER,434,,Kerlone
1369,FDA,435,,Olsalazine
1370,OTHER,436,,Inderal
1370,OTHER,437,,Inderide-40/25
1370,OTHER,438,,Inderide-80/25
1370,FDA,439,,Propranolol
49931,FDA,441,,Methotrexate
1470,FDA,442,,Mechlorethamine
1470,OTHER,443,,Mustargen
1543,RESEARCH_CODE,444,238.0,FR-79620
1549,RESEARCH_CODE,445,130.0,CGS-27023A
1615,USAN,448,,Benzylpenicillin
1615,OTHER,449,,Bicillin
1615,FDA,450,,Penicillin G
1615,OTHER,451,,Penicillin-2
1615,OTHER,452,,Permapen
1615,OTHER,454,,Pfizerpen-AS
1616,FDA,455,,Trovafloxacin
1785,FDA,475,,Labetalol
