activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value,action_type
31863,54505,6424,206172,180094,>,100000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,100.0,uM,,,
31864,83907,6432,208970,182268,=,2500.0,nM,1,IC50,,,0,5.6,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,2.5,uM,,,
31865,88152,6432,208970,182268,>,50000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,50.0,uM,,,
31866,83907,6432,208987,182855,=,9000.0,nM,1,IC50,,,0,5.05,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,9.0,uM,,,
31867,88153,6432,208987,182855,,,nM,0,IC50,Not Determined,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,,,uM,,,
31868,154606,6570,297547,252199,=,4000.0,nM,1,IC50,,,0,5.4,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,4.0,uM,,,
31869,5080,6570,297547,252199,=,25.0,%,0,% remaining,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,% remaining,=,25.0,%,,,
31870,154606,6570,297563,253534,=,17000.0,nM,1,IC50,,,0,4.77,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,17.0,uM,,,
31871,5080,6570,297563,253534,=,27.0,%,0,% remaining,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,% remaining,=,27.0,%,,,
31872,154606,6570,297580,253199,=,180.0,nM,1,IC50,,,0,6.75,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,180.0,nM,,,
31873,5080,6570,297580,253199,=,58.0,%,0,% remaining,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,% remaining,=,58.0,%,,,
31874,51352,6570,297580,253199,=,6000.0,nM,1,IC50,,,0,5.22,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,6.0,uM,,,
31875,51895,6570,297580,253199,=,37000.0,nM,1,IC50,,,0,4.43,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,37.0,uM,,,
31876,51528,6570,297580,253199,=,24000.0,nM,1,IC50,,,0,4.62,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,24.0,uM,,,
31877,75846,6570,297580,253199,=,3.0,ms,0,Delta S-H,,,0,,BAO_0000179,UO_0000028,http://qudt.org/vocab/unit#MilliSecond,,,,1,Delta S-H,=,3.0,ms,,,
31878,75844,6570,297580,253199,=,0.0,ms,0,Delta H-V,,,0,,BAO_0000179,UO_0000028,http://qudt.org/vocab/unit#MilliSecond,,,,1,Delta H-V,=,0.0,ms,,,
31879,75842,6570,297580,253199,=,-4.3,mmHg,0,Delta CPP,,,0,,BAO_0000179,UO_0000272,,,,,1,Delta CPP,=,-4.3,mmHg,,,
31880,43319,6695,350589,295513,<,63.6,nM,1,EC50,,,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,<,0.0636,uM,,,
31881,42997,6695,350589,295513,>,1000000.0,nM,1,CC50,,,0,,BAO_0000187,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,CC50,>,1000.0,uM,,,
31882,230096,6695,350589,295513,>,15723.0,uM,0,Selectivity index,,,0,,BAO_0000179,UO_0000064,http://www.openphacts.org/units/Micromolar,,,,1,Selectivity index,>,15723.0,uM,,,
31883,140680,6695,350589,295513,,,%,0,Inhibition,Not Determined,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,,,,,,
31884,5294,6695,350589,295513,=,0.3333,hr,1,T1/2,,,0,,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,,,,1,T1/2,=,20.0,min,,,
31885,217777,6703,49353,44836,=,47.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,47.0,%,,,
31886,226112,6703,49353,44836,>=,200000.0,nM,1,MIC,,,0,,BAO_0002146,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,MIC,>=,200.0,uM,,,
31887,217777,6703,49354,44837,=,38.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,38.0,%,,,
31888,226112,6703,49354,44837,>=,200000.0,nM,1,MIC,,,0,,BAO_0002146,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,MIC,>=,200.0,uM,,,
31889,47523,6511,235484,976,=,6000.0,nM,1,Ki,,,1,5.22,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,6000.0,nM,,,
31890,45233,6511,235484,976,=,70.0,nM,1,Ki,,,1,7.16,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,70.0,nM,,,
31891,45446,6511,235484,976,=,285.0,nM,1,Ki,,,1,6.54,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,285.0,nM,,,
31892,45453,6511,235484,976,=,50.0,nM,1,Ki,,,0,7.3,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,50.0,nM,,,
31893,47523,6511,235480,933,=,6.0,nM,1,Ki,,,1,8.22,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,6.0,nM,,,
31894,45233,6511,235480,933,=,2.0,nM,1,Ki,,,1,8.7,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,2.0,nM,,,
31895,45446,6511,235480,933,=,38.0,nM,1,Ki,,,1,7.42,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,38.0,nM,,,
