molregno,pref_name,chembl_id,max_phase,therapeutic_flag,dosed_ingredient,structure_type,chebi_par_id,molecule_type,first_approval,oral,parenteral,topical,black_box_warning,natural_product,first_in_class,chirality,prodrug,inorganic_flag,usan_year,availability_type,usan_stem,polymer_flag,usan_substem,usan_stem_definition,indication_class,withdrawn_flag,chemical_probe,orphan
1,,CHEMBL6329,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
2,,CHEMBL6328,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
3,,CHEMBL265667,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
4,,CHEMBL6362,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
5,,CHEMBL267864,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
6,,CHEMBL6363,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
7,,CHEMBL6352,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
8,,CHEMBL268097,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
9,,CHEMBL266457,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
10,,CHEMBL268556,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
15,,CHEMBL6214,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
21,,CHEMBL6222,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
23,BROMOENOL LACTONE,CHEMBL6206,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
24,,CHEMBL6223,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
25,,CHEMBL269758,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
26,,CHEMBL6228,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
27,,CHEMBL268365,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
28,,CHEMBL6230,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
29,,CHEMBL6254,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
30,,CHEMBL6268,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
31,,CHEMBL414196,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
32,,CHEMBL268528,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
33,,CHEMBL112998,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
38,,CHEMBL6266,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
39,,CHEMBL6354,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
46,,CHEMBL429017,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
47,,CHEMBL6361,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
48,,CHEMBL6212,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
49,,CHEMBL258254,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
50,,CHEMBL266885,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
51,UCL-1530,CHEMBL446445,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
52,,CHEMBL6356,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
53,,CHEMBL269729,,0,0,MOL,,Small molecule,,0,0,0,0,0,-1,-1,-1,-1,,-1.0,,0,,,,0,0,-1
