record_id,molregno,doc_id,compound_key,compound_name,src_id,src_compound_id,cidx
1,1798298,11788,X,"Bis(3-[14-Benzyl-11-(1H-indol-3-ylmethyl)-2-isobutyl-13-methyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide)",1,,CLD0
2,1798410,11788,V,"3-[11,14-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",1,,CLD0
3,1798299,11788,IX,"3-[14-Benzyl-11-(1H-indol-3-ylmethyl)-2-isobutyl-13-methyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",1,,CLD0
4,1798271,11788,IV,"11,14-Dibenzyl-2-isobutyl-8-methyl-5-(2-methylsulfanyl-ethyl)-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",1,,CLD0
5,1798623,11788,XVI,"3-[17-Benzyl-14-(1H-indol-3-ylmethyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18,23-heptaoxo-1,4,7,10,13,16,19-heptaaza-bicyclo[18.2.1]tricos-21-en-11-yl]-propionamide",1,,CLD0
6,1798230,11788,XIX,"3-[5-Benzyl-8-(1H-indol-3-ylmethyl)-17-isobutyl-14-(2-methylsulfanyl-ethyl)-4,7,10,13,16,19-hexaoxo-octadecahydro-3a,6,9,12,15,18-hexaaza-cyclopentacyclooctadecen-11-yl]-propionamide",1,,CLD0
7,1798624,11788,III,"11,14-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",1,,CLD0
8,1798627,11788,VII,"14-Benzyl-2-isobutyl-11-methyl-5-(2-methylsulfanyl-ethyl)-11-naphthalen-1-yl-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",1,,CLD0
9,1798073,11788,XII,"3-[17,20-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,12,15,18,21,26-heptaoxo-1,4,7,13,16,19,22-heptaaza-tricyclo[21.2.1.0*7,11*]hexacos-24-en-14-yl]-propionamide",1,,CLD0
10,1798122,11788,XIV,"3-[17-Benzyl-14-(4-hydroxy-benzyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18,23-heptaoxo-1,4,7,10,13,16,19-heptaaza-bicyclo[18.2.1]tricos-21-en-11-yl]-propionamide",1,,CLD0
11,1798231,11788,XVII,"3-[8-Benzyl-5-(1H-indol-3-ylmethyl)-14-isobutyl-17-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18-hexaoxo-1,4,7,10,13,16hexaaza-cyclooctadec-2-yl]-propionamide",1,,CLD0
12,1798142,11788,XX,"3-[8-Benzyl-5-(1H-indol-3-ylmethyl)-11-isobutyl-14-(2-methylsulfanyl-ethyl)-3,6,9,12,15-pentaoxo-1,4,7,10,13pentaaza-cyclopentadec-2-yl]-propionamide",1,,CLD0
13,1798601,11788,XVIII,"3-[5-Benzyl-8-(1H-indol-3-ylmethyl)-17-isobutyl-14-(2-methylsulfanyl-ethyl)-4,7,10,13,16,19-hexaoxo-octadecahydro-3a,6,9,12,15,18-hexaaza-cyclopentacyclooctadecen-11-yl]-propionamide",1,,CLD0
14,1798605,11788,XV,"3-[17-Benzyl-14-(1H-indol-3-ylmethyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18,23-heptaoxo-1,4,7,10,13,16,19-heptaaza-bicyclo[18.2.1]tricos-21-en-11-yl]-propionamide",1,,CLD0
15,1798183,11788,XIII,"19-Benzyl-16-(1H-indol-3-ylmethyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-1,4,7,15,18,21-hexaaza-bicyclo[20.2.1]pentacos-23-ene-3,6,14,17,20,25-hexaone",1,,CLD0
16,1798606,11788,XI,"3-[14,17-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18,23-heptaoxo-1,4,7,10,13,16,19-heptaaza-bicyclo[18.2.1]tricos-21-en-11-yl]-propionamide",1,,CLD0
17,1798294,11788,VI,"3-[14-Benzyl-2-isobutyl-11-methyl-5-(2-methylsulfanyl-ethyl)-11-naphthalen-1-yl-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",1,,CLD0
18,1798609,11788,II,"11,14-Dibenzyl-2-isobutyl-8-methyl-5-(2-methylsulfanyl-ethyl)-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",1,,CLD0
19,1798409,11788,I,"3-[14-Benzyl-11-(1H-indol-3-ylmethyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",1,,CLD0
20,1798297,11788,VIII,"3-[14-Benzyl-11-(1H-indol-3-ylmethyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",1,,CLD0
21,10,2085,1,"1,14-diazonia-22,33-diazaheptacyclo[32.6.2.214,21.13,7.18,12.015,20.035,40]hexatetraconta-1(40),3,5,7(46),8(45),9,11,14,15,17,19,21(43),34,36,38,41-hexadecaene",1,,CLD0
22,39,2085,1a,1-{3-[3-(4-amino-1-quinoliniumylmethyl)phenyl]benzyl}-4-quinoliniumamine,1,,CLD0
23,38,2085,2,Bis-quinolinium cyclophane analogue,1,,CLD0
24,53,2085,2a,1-{4-[4-(4-amino-1-quinoliniumylmethyl)phenyl]benzyl}-4-quinoliniumamine,1,,CLD0
25,56,2085,4a,1-{4-[4-(4-amino-1-quinoliniumylmethyl)benzyl]benzyl}-4-quinoliniumamine,1,,CLD0
26,46,2085,5a,1-{4-[4-(4-amino-1-quinoliniumylmethyl)phenethyl]benzyl}-4-quinoliniumamine,1,,CLD0
27,47,2085,6a,1-{4-[2-[4-(4-amino-1-quinoliniumylmethyl)phenyl]-(Z)-1-ethenyl]benzyl}-4-quinoliniumamine,1,,CLD0
28,48,2085,7a,4N-[10-(1-benzyl-4-quinoliniumylamino)decyl]-1-benzyl-4-quinoliniumamine,1,,CLD0
29,49,2085,6,Bis-quinolinium cyclophane analogue,1,,CLD0
30,50,2085,5,Bis-quinolinium cyclophane analogue,1,,CLD0
31,51,2085,4,Bis-quinolinium cyclophane analogue,1,,CLD0
32,52,2085,3a,1-[7-(4-amino-1-quinoliniumylmethyl)-9H-2-fluorenylmethyl]-4-quinoliniumamine,1,,CLD0
33,55,2085,3,"21,35-diazonia-2,13-diazaoctacyclo[33.6.2.214,21.123,27.129,33.015,20.026,30.036,41]heptatetraconta-1(41),14(45),15,17,19,21,23,25,27(47),29,31,33(46),35,37,39,42-hexadecaene",1,,CLD0
34,550170,8073,5,"2-(3,4-Dimethoxy-phenyl)-3-fluoro-allylamine hydrochloride",1,,CLD0
35,23,11798,1a,6-Bromomethylene-3-naphthalen-1-yl-tetrahydro-pyran-2-one,1,,CLD0
36,24,11798,1f,(E)-6-Iodomethylene-3-naphthalen-1-yl-tetrahydro-pyran-2-one,1,,CLD0
37,25,11798,3,(E)-3-(naphthalen-1-yl)-6-(prop-2-yn-1-ylidene)tetrahydro-2H-pyran-2-one,1,,CLD0
38,26,11798,1g,(Z)-6-(iodomethylene)-3-(naphthalen-1-yl)tetrahydro-2H-pyran-2-one,1,,CLD0
39,27,7792,1,"2-(4-Benzoyl-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
40,28,7792,35,"2-{3-Chloro-4-[(4-chloro-phenyl)-hydroxy-methyl]-phenyl}-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
41,29,7792,34,"2-(3-Benzoyl-4-chloro-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
42,30,7792,36,"2-[4-(Hydroxy-phenyl-methyl)-3-methyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
43,3,7792,38,"2-{4-[(4-Chloro-phenyl)-hydroxy-methyl]-3,5-dimethyl-phenyl}-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
44,4,7792,16,"2-[4-(4-Methyl-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
45,32,7792,18,"2-[4-(4-Methoxy-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
46,21,7792,20,"2-[3-Chloro-4-(4-chloro-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
