compsyn_id,component_id,component_synonym,syn_type
1783121,1,GABA(A) receptor subunit pi,UNIPROT
1783119,1,Gabrp,GENE_SYMBOL
1783120,1,Gamma-aminobutyric acid receptor subunit pi,UNIPROT
1783125,2,Acetylcholine receptor subunit alpha,UNIPROT
861030,2,ACHRA,GENE_SYMBOL_OTHER
861031,2,CHNRA,GENE_SYMBOL_OTHER
1783122,2,CHRNA1,GENE_SYMBOL
1783129,3,Antigen NY-CO-13,UNIPROT
1783128,3,Cellular tumor antigen p53,UNIPROT
861036,3,P53,GENE_SYMBOL_OTHER
1783130,3,Phosphoprotein p53,UNIPROT
1783126,3,TP53,GENE_SYMBOL
1783131,3,Tumor suppressor p53,UNIPROT
861043,4,Acra3,GENE_SYMBOL_OTHER
1783132,4,Chrna3,GENE_SYMBOL
1783134,4,Neuronal acetylcholine receptor subunit alpha-3,UNIPROT
1783139,5,CD_antigen=CD61,UNIPROT
861047,5,GP3A,GENE_SYMBOL_OTHER
1783140,5,GPIIIa,UNIPROT
1783137,5,Integrin beta-3,UNIPROT
1783135,5,ITGB3,GENE_SYMBOL
1783138,5,Platelet membrane glycoprotein IIIa,UNIPROT
1783149,6,CD_antigen=CD29,UNIPROT
1783146,6,Fibronectin receptor subunit beta,UNIPROT
861054,6,FNRB,GENE_SYMBOL_OTHER
1783147,6,Glycoprotein IIa,UNIPROT
1783150,6,GPIIA,UNIPROT
1783145,6,Integrin beta-1,UNIPROT
1783141,6,ITGB1,GENE_SYMBOL
861055,6,MDF2,GENE_SYMBOL_OTHER
861056,6,MSK12,GENE_SYMBOL_OTHER
1783148,6,VLA-4 subunit beta,UNIPROT
1783161,7,2.7.11.22,EC_NUMBER
1783162,7,2.7.11.23,EC_NUMBER
861067,7,CDC2,GENE_SYMBOL_OTHER
861068,7,CDC28A,GENE_SYMBOL_OTHER
1783151,7,CDK1,GENE_SYMBOL
1783160,7,CDK1,UNIPROT
861069,7,CDKN1,GENE_SYMBOL_OTHER
1783157,7,Cell division control protein 2 homolog,UNIPROT
1783158,7,Cell division protein kinase 1,UNIPROT
1783156,7,Cyclin-dependent kinase 1,UNIPROT
