product_id,ingredient,strength,record_id,molregno,formulation_id
PRODUCT_072636_001,ALBUTEROL SULFATE,EQ 2MG BASE,1343607,864943,347
PRODUCT_062216_003,AMOXICILLIN,250MG,1343581,143284,1617
PRODUCT_077260_002,IRINOTECAN HYDROCHLORIDE,100MG/5ML (20MG/ML),1344312,2197385,1709
PRODUCT_077260_001,IRINOTECAN HYDROCHLORIDE,40MG/2ML (20MG/ML),1344312,2197385,1710
PRODUCT_040819_001,AMITRIPTYLINE HYDROCHLORIDE,100MG,1343143,674915,2957
PRODUCT_040815_001,AMITRIPTYLINE HYDROCHLORIDE,10MG,1343143,674915,2958
PRODUCT_040820_001,AMITRIPTYLINE HYDROCHLORIDE,150MG,1343143,674915,2959
PRODUCT_040817_001,AMITRIPTYLINE HYDROCHLORIDE,50MG,1343143,674915,2961
PRODUCT_040818_001,AMITRIPTYLINE HYDROCHLORIDE,75MG,1343143,674915,2962
PRODUCT_078940_007,ATOMOXETINE HYDROCHLORIDE,100MG,1343140,547576,3608
PRODUCT_078940_001,ATOMOXETINE HYDROCHLORIDE,10MG,1343140,547576,3609
PRODUCT_078940_002,ATOMOXETINE HYDROCHLORIDE,18MG,1343140,547576,3610
PRODUCT_078940_003,ATOMOXETINE HYDROCHLORIDE,25MG,1343140,547576,3611
PRODUCT_078940_004,ATOMOXETINE HYDROCHLORIDE,40MG,1343140,547576,3612
PRODUCT_078940_005,ATOMOXETINE HYDROCHLORIDE,60MG,1343140,547576,3613
PRODUCT_078940_006,ATOMOXETINE HYDROCHLORIDE,80MG,1343140,547576,3614
PRODUCT_079018_005,ATOMOXETINE HYDROCHLORIDE,60MG,1343140,547576,4168
PRODUCT_079018_006,ATOMOXETINE HYDROCHLORIDE,80MG,1343140,547576,4169
PRODUCT_079020_007,ATOMOXETINE HYDROCHLORIDE,100MG,1343140,547576,4208
PRODUCT_079020_001,ATOMOXETINE HYDROCHLORIDE,10MG,1343140,547576,4209
PRODUCT_079018_007,ATOMOXETINE HYDROCHLORIDE,100MG,1343140,547576,5003
PRODUCT_079018_001,ATOMOXETINE HYDROCHLORIDE,10MG,1343140,547576,5004
PRODUCT_079018_002,ATOMOXETINE HYDROCHLORIDE,18MG,1343140,547576,5005
PRODUCT_079018_003,ATOMOXETINE HYDROCHLORIDE,25MG,1343140,547576,5006
PRODUCT_079018_004,ATOMOXETINE HYDROCHLORIDE,40MG,1343140,547576,5007
PRODUCT_079020_002,ATOMOXETINE HYDROCHLORIDE,18MG,1343140,547576,5008
PRODUCT_079020_003,ATOMOXETINE HYDROCHLORIDE,25MG,1343140,547576,5009
PRODUCT_079020_004,ATOMOXETINE HYDROCHLORIDE,40MG,1343140,547576,5010
PRODUCT_079020_005,ATOMOXETINE HYDROCHLORIDE,60MG,1343140,547576,5011
PRODUCT_079020_006,ATOMOXETINE HYDROCHLORIDE,80MG,1343140,547576,5012
PRODUCT_088548_001,CHLORPROPAMIDE,100MG,1343407,8516,7829
PRODUCT_070323_001,DIAZEPAM,2MG,1344578,721,8048
PRODUCT_070324_001,DIAZEPAM,5MG,1344578,721,8049
PRODUCT_005264_015,HEPARIN SODIUM,10 UNITS/ML,1344062,675515,8238
PRODUCT_071323_001,CHLORTHALIDONE,15MG,1343337,134333,9400
PRODUCT_071323_001,CLONIDINE HYDROCHLORIDE,0.1MG,1343614,548124,9401
PRODUCT_071324_001,CHLORTHALIDONE,15MG,1343337,134333,9402
PRODUCT_071324_001,CLONIDINE HYDROCHLORIDE,0.2MG,1343614,548124,9403
PRODUCT_072667_001,TIMOLOL MALEATE,10MG,1344583,674821,9703
PRODUCT_072666_001,TIMOLOL MALEATE,5MG,1344583,674821,9704
PRODUCT_071856_001,CLORAZEPATE DIPOTASSIUM,3.75MG,1343877,1369640,10375
PRODUCT_071857_001,CLORAZEPATE DIPOTASSIUM,7.5MG,1343877,1369640,10376
PRODUCT_020924_001,ALPHA-TOCOPHEROL,11.2 IU/VIAL,1344133,2197598,10627
PRODUCT_020924_001,ASCORBIC ACID,125MG/VIAL,1343064,443348,10628
PRODUCT_020924_001,BIOTIN,60UGM/VIAL,1344281,65798,10629
PRODUCT_020924_001,CHOLECALCIFEROL,200 IU/VIAL,1343065,125294,10630
PRODUCT_020924_001,CYANOCOBALAMIN,5.5MG/VIAL,1344800,1383003,10631
PRODUCT_020924_001,FOLIC ACID,414UGM/VIAL,1343814,469217,10632
PRODUCT_020924_001,NIACINAMIDE,46MG/VIAL,1343553,175447,10633
PRODUCT_020924_001,PANTOTHENIC ACID,17.25MG/VIAL,1343906,454250,10634
PRODUCT_020924_001,PYRIDOXINE,4.53MG/VIAL,1344131,308201,10635
