chembl_id,entity_type,entity_id,status,last_active
CHEMBL1,COMPOUND,517180,ACTIVE,34.0
CHEMBL10,COMPOUND,250,ACTIVE,34.0
CHEMBL100,COMPOUND,12356,ACTIVE,34.0
CHEMBL1000,COMPOUND,111185,ACTIVE,34.0
CHEMBL10000,COMPOUND,7079,ACTIVE,34.0
CHEMBL100000,COMPOUND,166734,INACTIVE,
CHEMBL1000000,ASSAY,551205,ACTIVE,34.0
CHEMBL1000001,ASSAY,551206,ACTIVE,34.0
CHEMBL1000002,ASSAY,551207,ACTIVE,34.0
CHEMBL1000003,ASSAY,551208,ACTIVE,34.0
CHEMBL1000004,ASSAY,551209,ACTIVE,34.0
CHEMBL1000005,ASSAY,551210,ACTIVE,34.0
CHEMBL1000006,ASSAY,551211,ACTIVE,34.0
CHEMBL1000007,ASSAY,551212,ACTIVE,34.0
CHEMBL1000008,ASSAY,551213,ACTIVE,34.0
CHEMBL1000009,ASSAY,482746,ACTIVE,34.0
CHEMBL100001,COMPOUND,167086,ACTIVE,34.0
CHEMBL1000010,ASSAY,482747,ACTIVE,34.0
CHEMBL1000011,ASSAY,482748,ACTIVE,34.0
CHEMBL1000012,ASSAY,482749,ACTIVE,34.0
CHEMBL1000013,ASSAY,482750,ACTIVE,34.0
CHEMBL1000014,ASSAY,482751,ACTIVE,34.0
CHEMBL1000015,ASSAY,482752,ACTIVE,34.0
CHEMBL1000016,ASSAY,482753,ACTIVE,34.0
CHEMBL1000017,ASSAY,482754,ACTIVE,34.0
CHEMBL1000018,ASSAY,482755,ACTIVE,34.0
CHEMBL1000019,ASSAY,482756,ACTIVE,34.0
CHEMBL100002,COMPOUND,166045,INACTIVE,15.0
CHEMBL1000020,ASSAY,482757,ACTIVE,34.0
CHEMBL1000021,ASSAY,482758,ACTIVE,34.0
CHEMBL1000022,ASSAY,482759,ACTIVE,34.0
CHEMBL1000023,ASSAY,482760,ACTIVE,34.0
CHEMBL1000024,ASSAY,482761,ACTIVE,34.0
CHEMBL1000025,ASSAY,482762,ACTIVE,34.0
CHEMBL1000026,ASSAY,482763,ACTIVE,34.0
CHEMBL1000027,ASSAY,482764,ACTIVE,34.0
CHEMBL1000028,ASSAY,482765,ACTIVE,34.0
CHEMBL1000029,ASSAY,482766,ACTIVE,34.0
CHEMBL100003,COMPOUND,165745,ACTIVE,34.0
CHEMBL1000030,ASSAY,482767,ACTIVE,34.0
CHEMBL1000031,ASSAY,482768,ACTIVE,34.0
CHEMBL1000032,ASSAY,482769,ACTIVE,34.0
CHEMBL1000033,ASSAY,482770,ACTIVE,34.0
CHEMBL1000034,ASSAY,482771,ACTIVE,34.0
CHEMBL1000035,ASSAY,482772,ACTIVE,34.0
CHEMBL1000036,ASSAY,482773,ACTIVE,34.0
CHEMBL1000037,ASSAY,482774,ACTIVE,34.0
CHEMBL1000038,ASSAY,482775,ACTIVE,34.0
CHEMBL1000039,ASSAY,482776,ACTIVE,34.0
CHEMBL100004,COMPOUND,165746,ACTIVE,34.0
CHEMBL1000040,ASSAY,482777,ACTIVE,34.0
CHEMBL1000041,ASSAY,482778,ACTIVE,34.0
CHEMBL1000042,ASSAY,482779,ACTIVE,34.0
CHEMBL1000043,ASSAY,482780,ACTIVE,34.0
CHEMBL1000044,ASSAY,482781,ACTIVE,34.0
CHEMBL1000045,ASSAY,482782,ACTIVE,34.0
CHEMBL1000046,ASSAY,482783,ACTIVE,34.0
CHEMBL1000047,ASSAY,482784,ACTIVE,34.0
CHEMBL1000048,ASSAY,482785,ACTIVE,34.0
CHEMBL1000049,ASSAY,482786,ACTIVE,34.0
CHEMBL100005,COMPOUND,166740,ACTIVE,34.0
CHEMBL1000050,ASSAY,482787,ACTIVE,34.0
CHEMBL1000051,ASSAY,482788,ACTIVE,34.0
CHEMBL1000052,ASSAY,483251,ACTIVE,34.0
CHEMBL1000053,ASSAY,483252,ACTIVE,34.0
CHEMBL1000054,ASSAY,483253,ACTIVE,34.0
CHEMBL1000055,ASSAY,483254,ACTIVE,34.0
CHEMBL1000056,ASSAY,483255,ACTIVE,34.0
CHEMBL1000057,ASSAY,483256,ACTIVE,34.0
CHEMBL1000058,ASSAY,483257,ACTIVE,34.0
CHEMBL1000059,ASSAY,483258,ACTIVE,34.0
CHEMBL100006,COMPOUND,165594,ACTIVE,34.0
CHEMBL1000060,ASSAY,483259,ACTIVE,34.0
CHEMBL1000061,ASSAY,483260,ACTIVE,34.0
CHEMBL1000062,ASSAY,483261,ACTIVE,34.0
CHEMBL1000063,ASSAY,483262,ACTIVE,34.0
CHEMBL1000064,ASSAY,483263,ACTIVE,34.0
CHEMBL1000065,ASSAY,483264,ACTIVE,34.0
CHEMBL1000066,ASSAY,483265,ACTIVE,34.0
CHEMBL1000067,ASSAY,483266,ACTIVE,34.0
CHEMBL1000068,ASSAY,483267,ACTIVE,34.0
CHEMBL1000069,ASSAY,483268,ACTIVE,34.0
CHEMBL100007,COMPOUND,166900,ACTIVE,34.0
CHEMBL1000070,ASSAY,483269,ACTIVE,34.0
CHEMBL1000071,ASSAY,483270,ACTIVE,34.0
CHEMBL1000072,ASSAY,481720,ACTIVE,34.0
CHEMBL1000073,ASSAY,481721,ACTIVE,34.0
CHEMBL1000074,ASSAY,481722,ACTIVE,34.0
CHEMBL1000075,ASSAY,481723,ACTIVE,34.0
CHEMBL1000076,ASSAY,481724,ACTIVE,34.0
CHEMBL1000077,ASSAY,481064,ACTIVE,34.0
CHEMBL1000078,ASSAY,481065,ACTIVE,34.0
CHEMBL1000079,ASSAY,481066,ACTIVE,34.0
CHEMBL100008,COMPOUND,166852,ACTIVE,34.0
CHEMBL1000080,ASSAY,481067,ACTIVE,34.0
CHEMBL1000081,ASSAY,481068,ACTIVE,34.0
CHEMBL1000082,ASSAY,481069,ACTIVE,34.0
CHEMBL1000083,ASSAY,481070,ACTIVE,34.0
CHEMBL1000084,ASSAY,481071,ACTIVE,34.0
CHEMBL1000085,ASSAY,481072,ACTIVE,34.0
CHEMBL1000086,ASSAY,481073,ACTIVE,34.0
CHEMBL1000087,ASSAY,481074,ACTIVE,34.0
CHEMBL1000088,ASSAY,481075,ACTIVE,34.0
CHEMBL1000089,ASSAY,481076,ACTIVE,34.0
CHEMBL100009,COMPOUND,164693,ACTIVE,34.0
CHEMBL1000090,ASSAY,481077,ACTIVE,34.0
CHEMBL1000091,ASSAY,481078,ACTIVE,34.0
CHEMBL1000092,ASSAY,481079,ACTIVE,34.0
CHEMBL1000093,ASSAY,481080,ACTIVE,34.0
CHEMBL1000094,ASSAY,481081,ACTIVE,34.0
CHEMBL1000095,ASSAY,481082,ACTIVE,34.0
CHEMBL1000096,ASSAY,481083,ACTIVE,34.0
CHEMBL1000097,ASSAY,481084,ACTIVE,34.0
CHEMBL1000098,ASSAY,481085,ACTIVE,34.0
CHEMBL1000099,ASSAY,481086,ACTIVE,34.0
CHEMBL10001,COMPOUND,5996,ACTIVE,34.0
CHEMBL100010,COMPOUND,165751,ACTIVE,34.0
