domain_id,domain_type,source_domain_id,domain_name,domain_description
2629,Pfam-A,PF00003,7tm_3,
2630,Pfam-A,PF00004,AAA,
2631,Pfam-A,PF00005,ABC_tran,
2632,Pfam-A,PF00006,ATP-synt_ab,
2633,Pfam-A,PF00008,EGF,
2634,Pfam-A,PF00009,GTP_EFTU,
2635,Pfam-A,PF00010,HLH,
2636,Pfam-A,PF00011,HSP20,
2638,Pfam-A,PF00013,KH_1,
2639,Pfam-A,PF00014,Kunitz_BPTI,
2640,Pfam-A,PF00017,SH2,
2641,Pfam-A,PF00018,SH3_1,
2642,Pfam-A,PF00019,TGF_beta,
2643,Pfam-A,PF00020,TNFR_c6,
2644,Pfam-A,PF00021,UPAR_LY6,
2647,Pfam-A,PF00024,PAN_1,
2648,Pfam-A,PF00025,Arf,
2650,Pfam-A,PF00027,cNMP_binding,
2651,Pfam-A,PF00028,Cadherin,
2652,Pfam-A,PF00031,Cystatin,
2653,Pfam-A,PF00032,Cytochrom_B_C,
2654,Pfam-A,PF00035,dsrm,
2655,Pfam-A,PF00036,EF-hand_1,
2657,Pfam-A,PF00039,fn1,
2658,Pfam-A,PF00040,fn2,
2659,Pfam-A,PF00041,fn3,
2660,Pfam-A,PF00042,Globin,
2661,Pfam-A,PF00043,GST_C,
2662,Pfam-A,PF00044,Gp_dh_N,
2664,Pfam-A,PF00046,Homeobox,
2665,Pfam-A,PF00047,ig,
2666,Pfam-A,PF00048,IL8,
2667,Pfam-A,PF00049,Insulin,
2668,Pfam-A,PF00051,Kringle,
2669,Pfam-A,PF00053,Laminin_EGF,
2670,Pfam-A,PF00054,Laminin_G_1,
2671,Pfam-A,PF00055,Laminin_N,
2672,Pfam-A,PF00056,Ldh_1_N,
2675,Pfam-A,PF00059,Lectin_C,
2677,Pfam-A,PF00061,Lipocalin,
2678,Pfam-A,PF00062,Lys,
2679,Pfam-A,PF00063,Myosin_head,
2681,Pfam-A,PF00067,p450,
2682,Pfam-A,PF00068,Phospholip_A2_1,
2683,Pfam-A,PF00069,Pkinase,
2685,Pfam-A,PF00071,Ras,
2686,Pfam-A,PF00072,Response_reg,
2687,Pfam-A,PF00073,Rhv,
2688,Pfam-A,PF00074,RnaseA,
2689,Pfam-A,PF00075,RNase_H,
2690,Pfam-A,PF00076,RRM_1,
2691,Pfam-A,PF00077,RVP,
2692,Pfam-A,PF00078,RVT_1,
2693,Pfam-A,PF00079,Serpin,
2694,Pfam-A,PF00080,Sod_Cu,
2695,Pfam-A,PF00081,Sod_Fe_N,
2696,Pfam-A,PF00082,Peptidase_S8,
2698,Pfam-A,PF00084,Sushi,
2699,Pfam-A,PF00085,Thioredoxin,
2700,Pfam-A,PF00086,Thyroglobulin_1,
2701,Pfam-A,PF00088,Trefoil,
2702,Pfam-A,PF00089,Trypsin,
2703,Pfam-A,PF00090,TSP_1,
2704,Pfam-A,PF00091,Tubulin,
2705,Pfam-A,PF00092,VWA,
2706,Pfam-A,PF00093,VWC,
2707,Pfam-A,PF00094,VWD,
2708,Pfam-A,PF00096,zf-C2H2,
2709,Pfam-A,PF00097,zf-C3HC4,
2710,Pfam-A,PF00098,zf-CCHC,
2711,Pfam-A,PF00102,Y_phosphatase,
2712,Pfam-A,PF00104,Hormone_recep,
2713,Pfam-A,PF00105,zf-C4,
2714,Pfam-A,PF00106,adh_short,
2715,Pfam-A,PF00107,ADH_zinc_N,
2716,Pfam-A,PF00108,Thiolase_N,
2717,Pfam-A,PF00109,ketoacyl-synt,
