drugind_id,record_id,molregno,max_phase_for_ind,mesh_id,mesh_heading,efo_id,efo_term
22606,1390869,675774,2.0,D045743,"Scleroderma, Diffuse",EFO:0000404,diffuse scleroderma
22607,1390869,675774,4.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22609,1343491,675576,3.0,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22610,1344515,438435,4.0,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
22612,1343309,448986,4.0,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus
22613,1343309,448986,3.0,D024821,Metabolic Syndrome,EFO:0000195,metabolic syndrome
22614,1343309,448986,2.0,D065626,Non-alcoholic Fatty Liver Disease,EFO:0003095,non-alcoholic fatty liver disease
22617,1343835,16450,4.0,D005334,Fever,HP:0001945,Fever
22621,1343835,16450,3.0,D020370,"Osteoarthritis, Knee",EFO:0004616,"osteoarthritis, knee"
22622,1343835,16450,4.0,D010146,Pain,EFO:0003843,pain
22627,1344903,1125,2.0,D007674,Kidney Diseases,EFO:0003086,kidney disease
22629,1344915,169652,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
22630,1679369,562404,4.0,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22631,1344035,675482,4.0,D013167,"Spondylitis, Ankylosing",EFO:0003898,ankylosing spondylitis
22632,1344035,675482,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
22633,1344035,675482,4.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22634,1344035,675482,4.0,D003093,"Colitis, Ulcerative",EFO:0000729,ulcerative colitis
22635,1343400,244450,4.0,D000152,Acne Vulgaris,EFO:0003894,acne
22637,1702610,1377982,4.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22638,1392866,1121853,4.0,D008268,Macular Degeneration,EFO:0001365,age-related macular degeneration
22640,1392866,1121853,2.0,D012164,Retinal Diseases,EFO:0003839,retinopathy
22644,1343195,34094,4.0,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22645,1343607,864943,4.0,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22646,1344408,675698,4.0,D005132,Eye Manifestations,EFO:0005751,eye allergy
22648,1343708,675480,3.0,D011565,Psoriasis,EFO:0000676,psoriasis
22651,1707063,1381980,3.0,D052439,Lipid Metabolism Disorders,Orphanet:309005,Disorder of lipid metabolism
22652,1707063,1381980,3.0,D006937,Hypercholesterolemia,HP:0003124,Hypercholesterolemia
22654,1344106,1926908,4.0,D006973,Hypertension,EFO:0000537,hypertension
22657,1344205,395607,4.0,D006073,Gout,EFO:0004274,gout
22659,1344205,395607,4.0,D007938,Leukemia,EFO:0000565,leukemia
22661,1344205,395607,4.0,D008223,Lymphoma,EFO:0000574,lymphoma
22664,1344282,27648,4.0,D016584,Panic Disorder,EFO:0004262,panic disorder
22666,1344218,675431,3.0,D000038,Abscess,EFO:0003030,abscess
22667,1344218,675431,4.0,D011655,Pulmonary Embolism,EFO:0003827,pulmonary embolism
22668,1344218,675431,4.0,D020521,Stroke,EFO:0000712,stroke
22671,1344320,154051,4.0,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22673,1344857,822010,4.0,D006973,Hypertension,EFO:0000537,hypertension
22678,1343826,674353,4.0,D006973,Hypertension,EFO:0000537,hypertension
22682,1344804,8838,4.0,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22684,1344593,543,1.0,D019970,Cocaine-Related Disorders,EFO:0002610,cocaine dependence
22685,1343128,674710,4.0,D013920,"Thrombocythemia, Essential",EFO:0000479,essential thrombocythemia
22686,1344211,675577,2.0,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus
22688,1344595,337366,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22689,1344595,337366,2.0,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22690,1706042,397524,4.0,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation
22691,1705039,458773,2.0,D003876,"Dermatitis, Atopic",EFO:0000274,atopic eczema
22695,1344597,399361,3.0,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22696,1344597,399361,3.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22697,1344597,399361,4.0,D020250,Postoperative Nausea and Vomiting,EFO:0004888,post operative nausea and vomiting
22698,1343282,1280054,4.0,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22701,1343887,155006,2.0,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22702,1343887,155006,4.0,D001321,Autistic Disorder,EFO:0003758,autism
22705,1343887,155006,4.0,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22707,1343365,675143,3.0,D006970,Disorders of Excessive Somnolence,EFO:0005246,hypersomnia
22708,1343365,675143,2.0,D007319,Sleep Initiation and Maintenance Disorders,EFO:0004698,insomnia
22710,1343644,674929,3.0,D007938,Leukemia,EFO:0000565,leukemia
22713,1343081,1280,3.0,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation
22716,1343081,1280,2.0,D004381,Duodenal Ulcer,EFO:0004607,duodenal ulcer
22717,1343081,1280,4.0,D005334,Fever,HP:0001945,Fever
22718,1343081,1280,3.0,D006973,Hypertension,EFO:0000537,hypertension
22720,1343081,1280,3.0,D058729,Peripheral Arterial Disease,EFO:0004265,peripheral arterial disease
22722,1344114,1279,4.0,D000787,Angina Pectoris,EFO:0003913,angina pectoris
22723,1344114,1279,4.0,D006973,Hypertension,EFO:0000537,hypertension
22724,1344114,1279,4.0,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22725,1343140,547576,4.0,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22728,1344888,407354,3.0,D006950,"Hyperlipidemia, Familial Combined",Orphanet:79211,Combined hyperlipidemia
22729,1344888,407354,3.0,D052439,Lipid Metabolism Disorders,Orphanet:309005,Disorder of lipid metabolism
22730,1344888,407354,4.0,D006937,Hypercholesterolemia,HP:0003124,Hypercholesterolemia
22733,1344888,407354,2.0,D011085,Polycystic Ovary Syndrome,EFO:0000660,polycystic ovary syndrome
22734,1344888,407354,3.0,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma
22735,1344888,407354,2.0,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22736,1344888,407354,2.0,D014652,Vascular Diseases,EFO:0004264,vascular disease
22739,1583657,716337,4.0,D009369,Neoplasms,EFO:0000616,neoplasm
22740,1583657,716337,4.0,D002292,"Carcinoma, Renal Cell",EFO:0000681,renal cell carcinoma
22741,1343167,418401,4.0,D015470,"Leukemia, Myeloid, Acute",EFO:0000222,acute myeloid leukemia
22743,1343167,418401,4.0,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22744,1343926,431141,3.0,D009157,Myasthenia Gravis,EFO:0004991,Myasthenia gravis
22748,1583655,1376065,4.0,D006973,Hypertension,EFO:0000537,hypertension
22755,1343565,27152,2.0,D003876,"Dermatitis, Atopic",EFO:0000274,atopic eczema
22757,1344998,675483,3.0,D008268,Macular Degeneration,EFO:0001365,age-related macular degeneration
22758,1344998,675483,3.0,D001932,Brain Neoplasms,EFO:0003833,brain neoplasm
22759,1344998,675483,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22760,1344998,675483,2.0,D002277,Carcinoma,EFO:0000313,carcinoma
22761,1344998,675483,4.0,D015179,Colorectal Neoplasms,EFO:0000365,colorectal adenocarcinoma
22763,1344998,675483,3.0,D003930,Diabetic Retinopathy,EFO:0003770,diabetic retinopathy
22764,1344998,675483,2.0,D004938,Esophageal Neoplasms,EFO:0002916,esophageal carcinoma
22766,1344998,675483,4.0,D005909,Glioblastoma,EFO:0000519,glioblastoma multiforme
22768,1344998,675483,4.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22769,1344998,675483,3.0,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma
22770,1344998,675483,3.0,D011625,Pterygium,EFO:0000678,pterygium
22771,1344998,675483,4.0,D002292,"Carcinoma, Renal Cell",EFO:0000681,renal cell carcinoma
22773,1344853,119498,3.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22774,1344580,717,3.0,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma
22778,1392876,1121863,4.0,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
22780,1344581,187372,2.0,D007938,Leukemia,EFO:0000565,leukemia
22782,1344581,187372,4.0,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22783,1344581,187372,4.0,D009369,Neoplasms,EFO:0000616,neoplasm
22784,1343869,93617,4.0,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22786,1698992,62111,2.0,D005909,Glioblastoma,EFO:0000519,glioblastoma multiforme
22787,1698992,62111,3.0,D009369,Neoplasms,EFO:0000616,neoplasm
22788,1696456,675360,3.0,D002547,Cerebral Palsy,EFO:1000632,cerebral palsy
22790,1696456,675360,2.0,D009765,Obesity,EFO:0001073,obesity
22792,1392878,1121865,4.0,D006689,Hodgkin Disease,EFO:0000183,Hodgkins lymphoma
22797,1343876,313314,4.0,D006255,"Rhinitis, Allergic, Seasonal",EFO:0005854,allergic rhinitis
22799,1343876,313314,4.0,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease
22801,1343876,313314,4.0,D003093,"Colitis, Ulcerative",EFO:0000729,ulcerative colitis
22802,1343888,139281,4.0,D006333,Heart Failure,EFO:0000373,congestive heart failure
22803,1343888,139281,4.0,D007674,Kidney Diseases,EFO:0003086,kidney disease
22804,1343888,139281,4.0,D009404,Nephrotic Syndrome,EFO:0004255,nephrotic syndrome
22806,1435097,150882,2.0,D007022,Hypotension,EFO:0005251,hypotension
