tissue_id,uberon_id,pref_name,efo_id,chembl_id,bto_id,caloha_id
2,UBERON:0000002,Uterine cervix,EFO:0000979,CHEMBL3988026,BTO:0001421,TS-0134
4,UBERON:0000004,Nose,,CHEMBL3987869,BTO:0000840,TS-2037
6,UBERON:0000006,Islets of langerhans,EFO:0000856,CHEMBL4296343,BTO:0000991,TS-0741
7,UBERON:0000007,Pituitary gland,EFO:0000857,CHEMBL3638173,BTO:0001073,TS-0798
9,UBERON:0000009,Submucosa,,CHEMBL3987982,BTO:0002107,
14,UBERON:0000014,Zone of skin,,CHEMBL3638174,,
23,UBERON:0000023,Wing,EFO:0000885,CHEMBL3988049,BTO:0001463,
25,UBERON:0000025,Tube,,CHEMBL3988015,,
29,UBERON:0000029,Lymph node,EFO:0000872,CHEMBL3638175,BTO:0000784,TS-0579
30,UBERON:0000030,Lamina propria,,CHEMBL3987795,BTO:0002330,
33,UBERON:0000033,Head,EFO:0000964,CHEMBL3987761,BTO:0000282,TS-0436
43,UBERON:0000043,Tendon,,CHEMBL3988000,BTO:0001356,TS-1021
44,UBERON:0000044,Dorsal root ganglion,EFO:0000900,CHEMBL3833581,BTO:0001264,TS-0954
45,UBERON:0000045,Ganglion,EFO:0000899,CHEMBL3987746,BTO:0000497,TS-0397
55,UBERON:0000055,Vessel,,CHEMBL3988044,,
56,UBERON:0000056,Ureter,EFO:0000930,CHEMBL3885901,BTO:0001409,TS-1084
57,UBERON:0000057,Urethra,EFO:0000931,CHEMBL3988023,BTO:0001426,TS-1132
58,UBERON:0000058,Duct,,CHEMBL3987715,,
59,UBERON:0000059,Large intestine,EFO:0000840,CHEMBL3987796,BTO:0000706,TS-1306
62,UBERON:0000062,Organ,EFO:0000634,CHEMBL3987880,,
65,UBERON:0000065,Respiratory tract,,CHEMBL3987939,,
69,UBERON:0000069,Larval stage,EFO:0001303,CHEMBL3987601,BTO:0000915,
70,UBERON:0000070,Pupal stage,,CHEMBL3987927,,
85,UBERON:0000085,Morula,,CHEMBL3987845,BTO:0001508,
104,UBERON:0000104,Life cycle,,CHEMBL3987810,,
107,UBERON:0000107,Cleavage stage,EFO:0001290,CHEMBL3987683,,
108,UBERON:0000108,Blastula stage,EFO:0001282,CHEMBL3987654,,
109,UBERON:0000109,Gastrula stage,EFO:0001296,CHEMBL3987750,,
115,UBERON:0000115,Lung epithelium,,CHEMBL3987824,BTO:0001653,
119,UBERON:0000119,Cell layer,,CHEMBL3987670,,
120,UBERON:0000120,Blood brain barrier,,CHEMBL3987461,,
127,UBERON:0000127,Facial nucleus,,CHEMBL3987739,,
151,UBERON:0000151,Pectoral fin,,CHEMBL3987897,BTO:0004653,
160,UBERON:0000160,Intestine,EFO:0000834,CHEMBL3638176,BTO:0000648,TS-0490
162,UBERON:0000162,Cloaca,,CHEMBL3987684,,
165,UBERON:0000165,Mouth,EFO:0000825,CHEMBL3987846,BTO:0001090,TS-1315
173,UBERON:0000173,Amniotic fluid,,CHEMBL3638177,BTO:0000068,TS-0034
174,UBERON:0000174,Excreta,,CHEMBL3987733,BTO:0000491,
175,UBERON:0000175,Pleural effusion,,CHEMBL3987913,,
177,UBERON:0000177,Pus,,CHEMBL3987929,,
178,UBERON:0000178,Blood,EFO:0000296,CHEMBL3638178,BTO:0000089,TS-0079
200,UBERON:0000200,Gyrus,,CHEMBL3987758,BTO:0002495,
211,UBERON:0000211,Ligament,EFO:0001966,CHEMBL3987811,,TS-2145
305,UBERON:0000305,Amnion,,CHEMBL3987541,BTO:0000065,TS-0033
307,UBERON:0000307,Blastula,,CHEMBL3987653,BTO:0000128,
310,UBERON:0000310,Breast,,CHEMBL3987569,BTO:0000149,TS-2083
316,UBERON:0000316,Cervical mucus,,CHEMBL3987675,BTO:0000242,
317,UBERON:0000317,Colonic mucosa,EFO:0003038,CHEMBL3987686,BTO:0000271,TS-0164
325,UBERON:0000325,Gastric gland,,CHEMBL3638179,BTO:0000503,
326,UBERON:0000326,Pancreatic juice,,CHEMBL3987888,BTO:0000504,TS-2235
331,UBERON:0000331,Ileal mucosa,,CHEMBL3987772,BTO:0000619,TS-0470
341,UBERON:0000341,Throat,,CHEMBL3988004,BTO:0000828,
344,UBERON:0000344,Mucosa,,CHEMBL3987847,BTO:0000886,TS-2031
345,UBERON:0000345,Myelin,,CHEMBL3987850,BTO:0000894,
347,UBERON:0000347,Myelin sheath,,CHEMBL3987851,BTO:0000900,TS-2363
349,UBERON:0000349,Limbic system,,CHEMBL3638180,BTO:0000928,TS-1307
353,UBERON:0000353,Parenchyma,,CHEMBL3987893,,
359,UBERON:0000359,Preputial gland,,CHEMBL3987584,,TS-0824
362,UBERON:0000362,Renal medulla,,CHEMBL3638181,BTO:0001167,TS-1157
365,UBERON:0000365,Urothelium,,CHEMBL3988025,BTO:0003906,TS-1096
369,UBERON:0000369,Corpus striatum,EFO:0000381,CHEMBL3987697,BTO:0001311,TS-0183
376,UBERON:0000376,Thigh,EFO:0001943,CHEMBL3638182,BTO:0001376,TS-2039
387,UBERON:0000387,Meniscus,,CHEMBL3987833,BTO:0001592,
397,UBERON:0000397,Colonic epithelium,,CHEMBL5169283,BTO:0001709,TS-0163
403,UBERON:0000403,Scalp,,CHEMBL3987949,BTO:0001809,TS-0896
411,UBERON:0000411,Visual cortex,EFO:0000916,CHEMBL3988047,BTO:0001857,TS-1117
412,UBERON:0000412,Dermal papilla,,CHEMBL3987706,BTO:0001858,TS-0431
437,UBERON:0004378,Proximal metaphysis,,CHEMBL3988121,,
440,UBERON:0000440,Trabecula,,CHEMBL3988012,BTO:0002501,
451,UBERON:0000451,Prefrontal cortex,EFO:0001384,CHEMBL3987919,BTO:0002807,
473,UBERON:0000473,Testis,EFO:0000984,CHEMBL3638183,BTO:0001363,TS-1030
479,UBERON:0000479,Tissue,,CHEMBL3988010,,TS-2090
483,UBERON:0000483,Epithelium,,CHEMBL3987730,BTO:0000416,TS-0288
910,UBERON:0000910,Chyme,,CHEMBL3987680,,
912,UBERON:0000912,Mucus,,CHEMBL3987848,,TS-2144
913,UBERON:0000913,Interstitial fluid,,CHEMBL3638184,,
916,UBERON:0000916,Abdomen,EFO:0000968,CHEMBL3987626,BTO:0000020,TS-0001
922,UBERON:0000922,Embryo,EFO:0001367,CHEMBL3987722,BTO:0000379,TS-0229
924,UBERON:0000924,Ectoderm,EFO:0000414,CHEMBL3987718,BTO:0000315,TS-0216
925,UBERON:0000925,Endoderm,EFO:0002545,CHEMBL3987723,BTO:0000800,TS-0273
926,UBERON:0000926,Mesoderm,EFO:0001981,CHEMBL3987837,BTO:0000839,TS-0623
935,UBERON:0000935,Anterior commissure,,CHEMBL3987635,BTO:0002169,
939,UBERON:0000939,Imaginal disc,,CHEMBL3987774,BTO:0004658,
945,UBERON:0000945,Stomach,EFO:0000837,CHEMBL3638185,BTO:0001307,TS-0980
947,UBERON:0000947,Aorta,EFO:0000265,CHEMBL3638186,BTO:0000135,TS-0046
948,UBERON:0000948,Heart,EFO:0000815,CHEMBL3638187,BTO:0000562,TS-0445
950,UBERON:0000950,Gracilis,,CHEMBL3987755,BTO:0000536,
955,UBERON:0000955,Brain,EFO:0000302,CHEMBL3638188,BTO:0000142,TS-0095
956,UBERON:0000956,Cerebral cortex,EFO:0000328,CHEMBL3559724,BTO:0000233,TS-0091
957,UBERON:0000957,Lamina,,CHEMBL3987794,,
958,UBERON:0000958,Medulla of organ,,CHEMBL3638189,,
964,UBERON:0000964,Cornea,EFO:0000377,CHEMBL3638190,BTO:0000286,TS-0171
965,UBERON:0000965,Lens of camera-type eye,,CHEMBL3638191,BTO:0000723,TS-0545
966,UBERON:0000966,Retina,EFO:0000832,CHEMBL3638192,BTO:0001175,TS-0865
970,UBERON:0000970,Eye,EFO:0000827,CHEMBL3638193,BTO:0000439,TS-0309
971,UBERON:0000971,Ommatidium,,CHEMBL3987879,BTO:0001922,
972,UBERON:0000972,Antenna,EFO:0000874,CHEMBL3987568,BTO:0000074,
974,UBERON:0000974,Neck,EFO:0000967,CHEMBL3987857,BTO:0000420,TS-2045
975,UBERON:0000975,Sternum,,CHEMBL3987976,BTO:0001302,TS-0972
976,UBERON:0000976,Humerus,EFO:0001398,CHEMBL3987769,,TS-2202
978,UBERON:0000978,Leg,EFO:0001411,CHEMBL3987807,BTO:0000721,TS-2206
979,UBERON:0000979,Tibia,EFO:0003054,CHEMBL3988005,BTO:0001252,TS-1048
981,UBERON:0000981,Femur,EFO:0001396,CHEMBL3638194,BTO:0001284,TS-0322
988,UBERON:0000988,Pons,EFO:0001394,CHEMBL3638195,BTO:0001101,TS-0813
991,UBERON:0000991,Gonad,,CHEMBL3833889,BTO:0000534,
992,UBERON:0000992,Female gonad,EFO:0000973,CHEMBL3638196,BTO:0000975,TS-0730
993,UBERON:0000993,Oviduct,EFO:0000974,CHEMBL3987884,BTO:0000980,
995,UBERON:0000995,Uterus,EFO:0000975,CHEMBL3638197,BTO:0001424,TS-1102
996,UBERON:0000996,Vagina,EFO:0000976,CHEMBL3833181,BTO:0000243,TS-1103
998,UBERON:0000998,Seminal vesicle,EFO:0000986,CHEMBL3987572,BTO:0001234,TS-0919
1000,UBERON:0001000,Vas deferens,EFO:0000981,CHEMBL3638198,BTO:0001427,TS-1105
1002,UBERON:0001002,Cuticle,,CHEMBL3987702,BTO:0001600,
1003,UBERON:0001003,Skin epidermis,EFO:0000954,CHEMBL4295321,BTO:0000404,TS-0283
1004,UBERON:0001004,Respiratory system,EFO:0000804,CHEMBL3987938,BTO:0000203,TS-1319
1009,UBERON:0001009,Circulatory system,,CHEMBL3987682,,TS-2103
1011,UBERON:0001011,Hemolymph,,CHEMBL3638199,BTO:0000572,
1013,UBERON:0001013,Adipose tissue,EFO:0000790,CHEMBL3638200,BTO:0001487,TS-0013
1016,UBERON:0001016,Nervous system,EFO:0000802,CHEMBL3987862,BTO:0001484,TS-1313
1017,UBERON:0001017,Central nervous system,EFO:0000908,CHEMBL3987606,BTO:0000227,TS-0150
1021,UBERON:0001021,Nerve,,CHEMBL3987860,BTO:0000925,TS-0772
1040,UBERON:0001040,Yolk sac,EFO:0003078,CHEMBL3988051,BTO:0001471,TS-1130
1043,UBERON:0001043,Esophagus,EFO:0000835,CHEMBL3987732,BTO:0000959,TS-0700
1044,UBERON:0001044,Salivary gland,EFO:0000859,CHEMBL3833901,BTO:0001203,TS-0892
1045,UBERON:0001045,Midgut,EFO:0001950,CHEMBL3987843,BTO:0000863,
1049,UBERON:0001049,Neural tube,,CHEMBL3987864,BTO:0001057,TS-2371
1052,UBERON:0001052,Rectum,EFO:0000848,CHEMBL3987932,BTO:0001158,TS-1180
1066,UBERON:0001066,Intervertebral disk,EFO:0001370,CHEMBL3987785,BTO:0003625,
1087,UBERON:0001087,Pleural fluid,,CHEMBL3987914,BTO:0003080,
1088,UBERON:0001088,Urine,EFO:0001939,CHEMBL3638201,BTO:0001419,TS-1092
1090,UBERON:0001090,Synovial fluid,,CHEMBL3987990,BTO:0001339,TS-0996
1097,UBERON:0001097,Axillary lymph node,,CHEMBL3987647,,
1103,UBERON:0001103,Diaphragm,EFO:0000937,CHEMBL3987708,BTO:0000341,TS-0198
1113,UBERON:0001113,Liver lobe,,CHEMBL3988241,,
1132,UBERON:0001132,Parathyroid gland,EFO:0000862,CHEMBL3987892,BTO:0000997,TS-0745
1134,UBERON:0001134,Skeletal muscle tissue,,CHEMBL3987962,,
1135,UBERON:0001135,Smooth muscle tissue,EFO:0000889,CHEMBL3987967,BTO:0001260,TS-0943
1137,UBERON:0001137,Dorsum,EFO:0001405,CHEMBL3987714,BTO:0001713,TS-2223
1143,UBERON:0001143,Hepatic vein,,CHEMBL3987763,,
1145,UBERON:0001145,Ovarian vein,,CHEMBL3987883,,
1153,UBERON:0001153,Caecum,EFO:0000850,CHEMBL3833888,BTO:0000166,TS-0122
1155,UBERON:0001155,Colon,EFO:0000361,CHEMBL3638202,BTO:0000269,TS-0158
1159,UBERON:0001159,Sigmoid colon,EFO:0000846,CHEMBL3987957,BTO:0000645,TS-2044
1166,UBERON:0001166,Pylorus,,CHEMBL3987930,BTO:0001146,
1179,UBERON:0001179,Peritoneal cavity,,CHEMBL3987903,BTO:0001782,
1184,UBERON:0001184,Renal artery,EFO:0002552,CHEMBL3987935,BTO:0001165,
1194,UBERON:0001194,Splenic artery,,CHEMBL3987975,,
1199,UBERON:0001199,Gastric mucosa,,CHEMBL3987583,BTO:0001308,TS-0404
1204,UBERON:0001204,Mucosa of small intestine,,CHEMBL4482292,BTO:0001259,TS-0941
1235,UBERON:0001235,Adrenal cortex,EFO:0000237,CHEMBL3638203,BTO:0000045,TS-0015
1236,UBERON:0001236,Adrenal medulla,EFO:0000852,CHEMBL3638204,BTO:0000049,TS-0018
1242,UBERON:0001242,Intestinal mucosa,,CHEMBL3987786,BTO:0000642,
1255,UBERON:0001255,Urinary bladder,EFO:0000290,CHEMBL3638205,BTO:0001418,TS-1090
1264,UBERON:0001264,Pancreas,EFO:0000855,CHEMBL3638206,BTO:0000988,TS-0736
1268,UBERON:0001268,Peritoneal fluid,,CHEMBL3638207,BTO:0001031,
1279,UBERON:0001279,Portal triad,,CHEMBL3987918,,
1287,UBERON:0001287,Proximal convoluted tubule,,CHEMBL3987921,,TS-2198
1295,UBERON:0001295,Endometrium,EFO:0000980,CHEMBL3987724,BTO:0001422,TS-0276
1296,UBERON:0001296,Myometrium,EFO:0001970,CHEMBL3638208,BTO:0000907,TS-0652
1301,UBERON:0001301,Epididymis,EFO:0000982,CHEMBL3987729,BTO:0000408,TS-0285
1305,UBERON:0001305,Ovarian follicle,,CHEMBL3638209,BTO:0000475,TS-0726
1310,UBERON:0001310,Umbilical artery,,CHEMBL3988018,BTO:0000841,TS-1077
1322,UBERON:0001322,Sciatic nerve,EFO:0001417,CHEMBL3638210,BTO:0001221,TS-0899
1323,UBERON:0001323,Tibial nerve,,CHEMBL3988006,,
1326,UBERON:0001326,Levator ani muscle,,CHEMBL3987809,,
1343,UBERON:0001343,Seminiferous tubule of testis,EFO:0001404,CHEMBL5058586,BTO:0001235,TS-1239
1347,UBERON:0001347,White adipose tissue,EFO:0000813,CHEMBL3987565,BTO:0001456,TS-1119
1348,UBERON:0001348,Brown adipose tissue,EFO:0000812,CHEMBL3638211,BTO:0000156,TS-0099
1353,UBERON:0001353,Anal region,EFO:0000847,CHEMBL3987632,,
1359,UBERON:0001359,Cerebrospinal fluid,EFO:0000329,CHEMBL3638212,BTO:0000237,TS-0130
1361,UBERON:0001361,Femoral vein,,CHEMBL3638213,,
1375,UBERON:0001375,Semitendinosus,,CHEMBL3987954,BTO:0001236,
1377,UBERON:0001377,Quadriceps femoris,EFO:0001938,CHEMBL4482293,BTO:0001149,
1383,UBERON:0001383,Muscle of leg,,CHEMBL5058587,BTO:0000722,TS-2595
1385,UBERON:0001385,Tibialis anterior,EFO:0001385,CHEMBL3988008,BTO:0001382,
1386,UBERON:0001386,Extensor digitorum longus,,CHEMBL3987735,BTO:0000436,
1388,UBERON:0001388,Gastrocnemius,EFO:0001413,CHEMBL3987748,BTO:0000506,
1389,UBERON:0001389,Soleus muscle,EFO:0001946,CHEMBL3987969,BTO:0001265,
1393,UBERON:0001393,Auditory cortex,,CHEMBL3987645,BTO:0004343,
1438,UBERON:0001438,Metaphysis,,CHEMBL3987839,,
1443,UBERON:0001443,Chest,EFO:0000965,CHEMBL3987678,BTO:0001368,TS-1039
1456,UBERON:0001456,Face,,CHEMBL3987738,BTO:0003369,TS-2216
1460,UBERON:0001460,Arm,EFO:0001410,CHEMBL3987640,BTO:0001435,TS-2204
1464,UBERON:0001464,Hip,EFO:0001929,CHEMBL3987767,BTO:0001457,TS-2226
1465,UBERON:0001465,Knee,,CHEMBL3987790,BTO:0003595,TS-2220
1467,UBERON:0001467,Shoulder,EFO:0003068,CHEMBL3987956,,TS-2229
1474,UBERON:0001474,Bone element,EFO:0000298,CHEMBL3638214,BTO:0000140,TS-0088
1485,UBERON:0001485,Knee joint,EFO:0001957,CHEMBL3987791,,
1488,UBERON:0001488,Ankle joint,,CHEMBL3987634,BTO:0004706,
1515,UBERON:0001515,Thoracic aorta,EFO:0002525,CHEMBL3638215,BTO:0000157,
1543,UBERON:0001543,Popliteal lymph node,,CHEMBL3987915,,
1555,UBERON:0001555,Digestive tract,,CHEMBL3987710,BTO:0000511,
1557,UBERON:0001557,Upper respiratory tract,,CHEMBL3988022,,
1558,UBERON:0001558,Lower respiratory tract,,CHEMBL3987821,,
1567,UBERON:0001567,Cheek,,CHEMBL3987676,BTO:0001754,
1621,UBERON:0001621,Coronary artery,EFO:0002551,CHEMBL3987691,BTO:0000290,TS-0176
1627,UBERON:0001627,Middle cerebral artery,,CHEMBL3987842,BTO:0005206,
1633,UBERON:0001633,Basilar artery,,CHEMBL3987651,,
1637,UBERON:0001637,Artery,EFO:0000814,CHEMBL3638216,BTO:0000573,TS-0054
1638,UBERON:0001638,Vein,EFO:0000816,CHEMBL3988034,BTO:0000234,TS-1108
1639,UBERON:0001639,Hepatic portal vein,,CHEMBL3638217,,
1640,UBERON:0001640,Celiac artery,,CHEMBL3987669,,
1675,UBERON:0001675,Trigeminal ganglion,EFO:0000903,CHEMBL3988013,BTO:0001231,
1690,UBERON:0001690,Ear,EFO:0000826,CHEMBL3987716,BTO:0000368,TS-1165
1705,UBERON:0001705,Nail,EFO:0000956,CHEMBL3987853,BTO:0001719,TS-2034
1707,UBERON:0001707,Nasal cavity,,CHEMBL3987855,BTO:0002096,
1709,UBERON:0001709,Upper jaw region,,CHEMBL3988021,,
1710,UBERON:0001710,Lower jaw region,EFO:0003660,CHEMBL3987819,,
1711,UBERON:0001711,Eyelid,,CHEMBL3987737,BTO:0002241,
1723,UBERON:0001723,Tongue,EFO:0000833,CHEMBL3988011,BTO:0001385,TS-1050
1728,UBERON:0001728,Nasopharynx,,CHEMBL3987856,BTO:0000662,TS-0663
1736,UBERON:0001736,Submandibular gland,EFO:0001387,CHEMBL3987981,BTO:0001316,TS-0988
1737,UBERON:0001737,Larynx,EFO:0000838,CHEMBL3987798,BTO:0001208,TS-0532
1751,UBERON:0001751,Dentine,,CHEMBL3987705,BTO:0003453,
1757,UBERON:0001757,Pinna,,CHEMBL3987907,,
1759,UBERON:0001759,Vagus nerve,EFO:0002549,CHEMBL3988030,BTO:0003472,
1768,UBERON:0001768,Uveal tract,,CHEMBL3833902,,TS-2228
1769,UBERON:0001769,Iris,EFO:0004245,CHEMBL3987788,BTO:0000653,TS-0491
1771,UBERON:0001771,Pupil,,CHEMBL3987928,,
1773,UBERON:0001773,Sclera,,CHEMBL3638218,BTO:0001606,
1775,UBERON:0001775,Ciliary body,,CHEMBL3987681,BTO:0000260,TS-0694
1780,UBERON:0001780,Spinal nerve,,CHEMBL3987973,BTO:0000870,
1796,UBERON:0001796,Aqueous humor of eyeball,,CHEMBL3987585,,
1797,UBERON:0001797,Vitreous humor,,CHEMBL3988048,BTO:0001451,TS-0308
1802,UBERON:0001802,Posterior segment of eyeball,,CHEMBL4296341,,
1811,UBERON:0001811,Conjunctiva,EFO:0000374,CHEMBL3987689,BTO:0003415,TS-2232
1812,UBERON:0001812,Palpebral conjunctiva,,CHEMBL3987887,,
1817,UBERON:0001817,Lachrymal gland,EFO:0001389,CHEMBL3987586,BTO:0000044,TS-0512
1821,UBERON:0001821,Sebaceous gland,,CHEMBL3987950,BTO:0001980,TS-2384
1823,UBERON:0001823,Nasal cartilage,,CHEMBL3987854,,TS-0655
1828,UBERON:0001828,Gingiva,EFO:0001925,CHEMBL5169246,BTO:0000519,TS-2074
1831,UBERON:0001831,Parotid gland,EFO:0002558,CHEMBL3987895,BTO:0001004,TS-0748
1833,UBERON:0001833,Lip,,CHEMBL3987814,BTO:0001647,TS-0558
1835,UBERON:0001835,Lower lip,,CHEMBL3987820,,
1836,UBERON:0001836,Saliva,,CHEMBL3987604,BTO:0001202,TS-0891
1844,UBERON:0001844,Cochlea,EFO:0000357,CHEMBL4482291,BTO:0000267,TS-0151
1851,UBERON:0001851,Cortex,EFO:0000383,CHEMBL3638219,,
1866,UBERON:0001866,Sebum,,CHEMBL3987951,BTO:0001981,
1870,UBERON:0001870,Frontal cortex,,CHEMBL3638220,BTO:0000484,TS-0389
1871,UBERON:0001871,Temporal lobe,EFO:0000917,CHEMBL3987999,BTO:0001355,TS-1020
1872,UBERON:0001872,Parietal lobe,EFO:0000914,CHEMBL3987894,BTO:0001001,TS-0747
1873,UBERON:0001873,Caudate nucleus,EFO:0000907,CHEMBL3638221,BTO:0000211,TS-0121
1874,UBERON:0001874,Putamen,,CHEMBL3638222,,TS-2041
1875,UBERON:0001875,Globus pallidus,EFO:0000905,CHEMBL3987754,BTO:0002246,TS-2013
