comp_go_id,component_id,go_id
2547875,1,GO:0003674
2547877,1,GO:0005575
2547872,1,GO:0005886
2547881,1,GO:0006810
2547879,1,GO:0007165
2547882,1,GO:0007267
2547874,1,GO:0008150
2547878,1,GO:0016020
2547876,1,GO:0022857
2547873,1,GO:0050877
2547880,1,GO:0055085
2547887,2,GO:0003674
2547890,2,GO:0005575
2547883,2,GO:0005886
2547889,2,GO:0006810
2547895,2,GO:0007165
2547897,2,GO:0007267
2547886,2,GO:0008150
2547891,2,GO:0016020
2547888,2,GO:0022857
2547896,2,GO:0034330
2547884,2,GO:0040007
2547892,2,GO:0042592
2547894,2,GO:0043167
2547885,2,GO:0050877
2547893,2,GO:0055085
2547918,3,GO:0002376
2547933,3,GO:0003674
2547950,3,GO:0003677
2547942,3,GO:0003682
2547900,3,GO:0003729
2547945,3,GO:0005102
2547916,3,GO:0005515
2547911,3,GO:0005575
2547915,3,GO:0005634
2547948,3,GO:0005654
2547927,3,GO:0005730
2547919,3,GO:0005737
2547914,3,GO:0005739
2547899,3,GO:0005783
2547946,3,GO:0005815
2547905,3,GO:0005829
2547925,3,GO:0005856
2547924,3,GO:0005975
2547947,3,GO:0006091
2547936,3,GO:0006259
2547902,3,GO:0006913
2547951,3,GO:0006914
2547937,3,GO:0006950
2547901,3,GO:0007005
2547928,3,GO:0007049
2547923,3,GO:0007165
2547929,3,GO:0008134
2547903,3,GO:0008150
2547912,3,GO:0008152
2547930,3,GO:0008219
2547904,3,GO:0008283
2547944,3,GO:0009056
2547941,3,GO:0009058
2547898,3,GO:0009790
2547949,3,GO:0019899
2547938,3,GO:0019904
2547906,3,GO:0030154
2547932,3,GO:0030234
2547934,3,GO:0034641
2547931,3,GO:0040007
2547917,3,GO:0042802
2547940,3,GO:0043065
2547908,3,GO:0043167
2547907,3,GO:0043621
2547920,3,GO:0044281
2547921,3,GO:0046677
2547909,3,GO:0046982
2547935,3,GO:0048646
2547926,3,GO:0048856
2547939,3,GO:0050790
2547910,3,GO:0050821
2547922,3,GO:0051276
2547913,3,GO:0061024
2547943,3,GO:0065003
2547955,4,GO:0003674
2547958,4,GO:0005575
2547953,4,GO:0005783
2547957,4,GO:0005794
2547952,4,GO:0005886
2547963,4,GO:0006810
2547960,4,GO:0007165
2547964,4,GO:0007267
2547954,4,GO:0008150
2547959,4,GO:0016020
2547956,4,GO:0022857
2547961,4,GO:0043167
2547965,4,GO:0048856
2547962,4,GO:0055085
2547966,5,GO:0001618
2547976,5,GO:0001968
2547987,5,GO:0003674
2547994,5,GO:0005102
2547969,5,GO:0005178
2547978,5,GO:0005515
2547975,5,GO:0005575
2547977,5,GO:0005634
2547997,5,GO:0005654
2547999,5,GO:0005886
