molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score
1,341.75,2.11,5.0,1.0,84.82,3.0,N,0.0,6.48,,3.63,2.69,ACID,341.75,3.0,24.0,0.74,341.0567,C17H12ClN3O3,6.0,1.0,0.0,-1.56
2,332.32,1.33,6.0,1.0,108.61,3.0,N,0.0,6.33,,2.88,1.82,ACID,332.32,3.0,25.0,0.73,332.0909,C18H12N4O3,7.0,1.0,0.0,-1.59
3,357.8,2.27,5.0,2.0,87.98,3.0,N,0.0,6.33,,3.7,2.64,ACID,357.8,3.0,25.0,0.75,357.088,C18H16ClN3O3,6.0,2.0,0.0,-0.82
4,307.31,1.46,5.0,1.0,84.82,3.0,N,0.0,6.33,,3.02,1.97,ACID,307.31,3.0,23.0,0.74,307.0957,C17H13N3O3,6.0,1.0,0.0,-1.1
5,341.75,2.11,5.0,1.0,84.82,3.0,N,0.0,6.33,,3.63,2.57,ACID,341.75,3.0,24.0,0.74,341.0567,C17H12ClN3O3,6.0,1.0,0.0,-1.49
6,307.31,1.46,5.0,1.0,84.82,3.0,N,0.0,6.33,,3.02,1.97,ACID,307.31,3.0,23.0,0.74,307.0957,C17H13N3O3,6.0,1.0,0.0,-1.3
7,420.65,2.88,5.0,1.0,84.82,3.0,N,0.0,6.48,,4.4,3.46,ACID,420.65,3.0,25.0,0.66,418.9672,C17H11BrClN3O3,6.0,1.0,0.0,-1.58
8,396.62,3.11,5.0,1.0,84.82,3.0,N,0.0,6.53,,4.32,3.43,NEUTRAL,396.62,3.0,25.0,0.69,394.9631,C16H8Cl3N3O3,6.0,1.0,0.0,-1.45
9,405.82,1.21,7.0,1.0,118.96,4.0,N,0.0,6.48,,1.95,1.02,ACID,405.82,3.0,27.0,0.65,405.0186,C17H12ClN3O5S,8.0,1.0,0.0,-1.68
10,606.86,9.29,2.0,2.0,31.82,0.0,N,2.0,,,0.8,0.8,NEUTRAL,606.86,6.0,46.0,0.17,606.3712,C42H46N4+2,4.0,2.0,2.0,0.13
15,373.82,2.53,6.0,1.0,84.82,4.0,N,0.0,6.48,,3.74,2.81,ACID,373.82,3.0,25.0,0.56,373.0288,C17H12ClN3O3S,6.0,1.0,0.0,-1.68
21,362.17,2.46,5.0,1.0,84.82,3.0,N,0.0,6.48,,3.72,2.78,ACID,362.17,3.0,24.0,0.73,361.0021,C16H9Cl2N3O3,6.0,1.0,0.0,-1.56
23,317.18,4.5,2.0,0.0,26.3,1.0,N,0.0,,,3.96,3.96,NEUTRAL,317.18,2.0,19.0,0.72,316.0099,C16H13BrO2,2.0,0.0,0.0,0.52
24,364.18,4.54,2.0,0.0,26.3,1.0,N,0.0,,,4.05,4.05,NEUTRAL,364.18,2.0,19.0,0.55,363.996,C16H13IO2,2.0,0.0,0.0,0.49
25,262.31,3.78,2.0,0.0,26.3,1.0,N,0.0,,,3.5,3.5,NEUTRAL,262.31,2.0,20.0,0.58,262.0994,C18H14O2,2.0,0.0,0.0,0.52
26,364.18,4.54,2.0,0.0,26.3,1.0,N,0.0,,,4.05,4.05,NEUTRAL,364.18,2.0,19.0,0.55,363.996,C16H13IO2,2.0,0.0,0.0,0.49
27,293.28,1.15,5.0,1.0,84.82,3.0,N,0.0,6.33,,2.51,1.46,ACID,293.28,3.0,22.0,0.73,293.08,C16H11N3O3,6.0,1.0,0.0,-1.04
28,364.19,2.31,5.0,2.0,87.98,3.0,N,0.0,6.48,,3.27,2.34,ACID,364.19,3.0,24.0,0.75,363.0177,C16H11Cl2N3O3,6.0,2.0,0.0,-1.12
29,327.73,1.81,5.0,1.0,84.82,3.0,N,0.0,6.48,,3.11,2.18,ACID,327.73,3.0,23.0,0.74,327.0411,C16H10ClN3O3,6.0,1.0,0.0,-1.44
30,309.32,1.31,5.0,2.0,87.98,3.0,N,0.0,6.33,,2.58,1.53,ACID,309.32,3.0,23.0,0.76,309.1113,C17H15N3O3,6.0,2.0,0.0,-0.94
31,433.51,2.68,7.0,1.0,93.81,5.0,N,0.0,,7.24,2.94,2.71,NEUTRAL,433.51,3.0,32.0,0.66,433.2114,C24H27N5O3,8.0,2.0,0.0,-0.89
32,323.31,1.16,6.0,1.0,94.05,4.0,N,0.0,6.33,,2.35,1.3,ACID,323.31,3.0,24.0,0.73,323.0906,C17H13N3O4,7.0,1.0,0.0,-0.95
33,435.53,1.8,9.0,1.0,110.88,5.0,N,0.0,,7.24,2.29,2.07,NEUTRAL,435.53,3.0,29.0,0.65,435.1035,C18H21N5O4S2,9.0,2.0,0.0,-1.78
38,606.86,9.29,2.0,2.0,31.82,0.0,N,2.0,,,0.8,0.8,NEUTRAL,606.86,6.0,46.0,0.17,606.3712,C42H46N4+2,4.0,2.0,2.0,0.14
39,468.6,5.5,2.0,2.0,59.8,5.0,N,1.0,,,-2.87,-2.87,NEUTRAL,468.6,6.0,36.0,0.33,468.2303,C32H28N4+2,4.0,4.0,1.0,-0.1
46,496.66,5.61,2.0,2.0,59.8,7.0,N,1.0,,,-1.98,-1.98,NEUTRAL,496.66,6.0,38.0,0.28,496.2616,C34H32N4+2,4.0,4.0,1.0,-0.03
47,494.64,6.0,2.0,2.0,59.8,6.0,N,1.0,,,-2.18,-2.18,NEUTRAL,494.64,6.0,38.0,0.22,494.2459,C34H30N4+2,4.0,4.0,1.0,0.01
48,608.87,9.31,2.0,2.0,31.82,17.0,N,2.0,,,1.13,1.13,NEUTRAL,608.87,6.0,46.0,0.08,608.3868,C42H48N4+2,4.0,2.0,2.0,-0.2
49,632.9,9.79,2.0,2.0,31.82,0.0,N,2.0,,,1.5,1.5,NEUTRAL,632.9,6.0,48.0,0.16,632.3868,C44H48N4+2,4.0,2.0,2.0,0.48
50,634.91,9.41,2.0,2.0,31.82,0.0,N,2.0,,,1.69,1.69,NEUTRAL,634.91,6.0,48.0,0.16,634.4025,C44H50N4+2,4.0,2.0,2.0,0.28
51,620.88,9.21,2.0,2.0,31.82,0.0,N,2.0,,,1.25,1.25,NEUTRAL,620.88,6.0,47.0,0.17,620.3868,C43H48N4+2,4.0,2.0,2.0,0.25
52,480.62,5.4,2.0,2.0,59.8,4.0,N,1.0,11.44,,-2.75,-2.75,NEUTRAL,480.62,6.0,37.0,0.33,480.2303,C33H28N4+2,4.0,4.0,1.0,-0.04
53,468.6,5.5,2.0,2.0,59.8,5.0,N,1.0,,,-2.87,-2.87,NEUTRAL,468.6,6.0,36.0,0.33,468.2303,C32H28N4+2,4.0,4.0,1.0,-0.1
54,376.2,2.77,5.0,1.0,84.82,3.0,N,0.0,6.48,,4.23,3.3,ACID,376.2,3.0,25.0,0.71,375.0177,C17H11Cl2N3O3,6.0,1.0,0.0,-1.6
55,618.87,9.19,2.0,2.0,31.82,0.0,N,2.0,11.44,,0.92,0.92,NEUTRAL,618.87,6.0,47.0,0.17,618.3712,C43H46N4+2,4.0,2.0,2.0,0.25
56,482.63,5.42,2.0,2.0,59.8,6.0,N,1.0,,,-2.43,-2.43,NEUTRAL,482.63,6.0,37.0,0.31,482.2459,C33H30N4+2,4.0,4.0,1.0,-0.05
58,576.65,2.96,10.0,2.0,149.21,11.0,N,1.0,,7.24,3.7,3.48,NEUTRAL,576.65,3.0,42.0,0.2,576.2696,C30H36N6O6,12.0,3.0,2.0,-0.75
59,421.5,2.51,7.0,1.0,93.81,6.0,N,0.0,,7.24,3.02,2.79,NEUTRAL,421.5,3.0,31.0,0.65,421.2114,C23H27N5O3,8.0,2.0,0.0,-0.91
60,449.51,2.6,8.0,1.0,103.04,6.0,N,0.0,,7.24,2.94,2.71,NEUTRAL,449.51,3.0,33.0,0.57,449.2063,C24H27N5O4,9.0,2.0,0.0,-0.67
61,437.48,2.73,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.24,3.01,NEUTRAL,437.48,3.0,32.0,0.61,437.1863,C23H24FN5O3,8.0,2.0,0.0,-1.0
62,409.49,2.09,7.0,1.0,93.81,4.0,N,0.0,,7.24,2.15,1.93,NEUTRAL,409.49,2.0,30.0,0.77,409.2114,C22H27N5O3,8.0,2.0,0.0,-0.78
63,383.45,2.01,7.0,1.0,93.81,5.0,N,0.0,,7.24,2.41,2.18,NEUTRAL,383.45,2.0,28.0,0.62,383.1957,C20H25N5O3,8.0,2.0,0.0,-0.45
64,419.49,2.59,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.1,2.87,NEUTRAL,419.49,3.0,31.0,0.64,419.1957,C23H25N5O3,8.0,2.0,0.0,-0.7
65,437.48,2.73,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.24,3.01,NEUTRAL,437.48,3.0,32.0,0.61,437.1863,C23H24FN5O3,8.0,2.0,0.0,-0.91
66,453.93,3.24,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.7,3.47,NEUTRAL,453.93,3.0,32.0,0.59,453.1568,C23H24ClN5O3,8.0,2.0,0.0,-0.84
67,437.48,2.89,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.02,2.8,NEUTRAL,437.48,3.0,32.0,0.61,437.1863,C23H24FN5O3,8.0,2.0,0.0,-0.92
68,408.46,2.58,7.0,2.0,105.84,4.0,N,0.0,13.41,7.24,2.64,2.42,NEUTRAL,408.46,3.0,30.0,0.68,408.191,C21H24N6O3,9.0,3.0,0.0,-1.35
69,546.58,2.26,10.0,2.0,149.21,8.0,N,1.0,,7.24,2.89,2.67,NEUTRAL,546.58,3.0,40.0,0.32,546.2227,C28H30N6O6,12.0,3.0,2.0,-0.69
70,430.58,2.97,7.0,2.0,89.1,4.0,N,0.0,1.25,13.95,4.55,4.5,ZWITTERION,430.58,2.0,30.0,0.44,430.2151,C21H30N6O2S,8.0,2.0,0.0,-0.67
71,421.5,2.4,7.0,1.0,93.81,4.0,N,0.0,,7.24,2.45,2.22,NEUTRAL,421.5,2.0,31.0,0.76,421.2114,C23H27N5O3,8.0,2.0,0.0,-0.41
72,443.53,2.05,8.0,1.0,110.88,5.0,N,0.0,,7.24,2.86,2.63,NEUTRAL,443.53,3.0,31.0,0.64,443.1627,C21H25N5O4S,9.0,2.0,0.0,-1.42
73,424.53,2.97,7.0,2.0,89.1,4.0,N,0.0,-0.43,15.0,5.21,5.16,ZWITTERION,424.53,3.0,30.0,0.38,424.1681,C21H24N6O2S,8.0,2.0,0.0,-0.98
74,299.31,1.21,6.0,1.0,84.82,3.0,N,0.0,6.33,,2.42,1.37,ACID,299.31,3.0,21.0,0.74,299.0365,C14H9N3O3S,6.0,1.0,0.0,-1.69
75,293.33,1.82,4.0,1.0,67.75,3.0,N,0.0,6.33,,3.65,2.6,ACID,293.33,3.0,22.0,0.8,293.1164,C17H15N3O2,5.0,1.0,0.0,-1.15
76,376.2,2.77,5.0,1.0,84.82,3.0,N,0.0,6.48,,4.23,3.3,ACID,376.2,3.0,25.0,0.71,375.0177,C17H11Cl2N3O3,6.0,1.0,0.0,-1.21
77,293.28,1.15,5.0,1.0,84.82,3.0,N,0.0,6.33,,2.51,1.46,ACID,293.28,3.0,22.0,0.73,293.08,C16H11N3O3,6.0,1.0,0.0,-1.18
78,355.78,2.42,5.0,1.0,84.82,3.0,N,0.0,6.33,,4.14,3.09,ACID,355.78,3.0,25.0,0.73,355.0724,C18H14ClN3O3,6.0,1.0,0.0,-1.05
79,355.78,2.42,5.0,1.0,84.82,3.0,N,0.0,6.33,,4.14,3.09,ACID,355.78,3.0,25.0,0.73,355.0724,C18H14ClN3O3,6.0,1.0,0.0,-1.42
80,265.66,0.78,5.0,1.0,84.82,2.0,N,0.0,6.48,,1.21,0.28,ACID,265.66,2.0,18.0,0.81,265.0254,C11H8ClN3O3,6.0,1.0,0.0,-1.58
81,327.73,1.81,5.0,1.0,84.82,3.0,N,0.0,6.48,,3.11,2.18,ACID,327.73,3.0,23.0,0.74,327.0411,C16H10ClN3O3,6.0,1.0,0.0,-1.47
82,335.36,2.08,5.0,1.0,84.82,3.0,N,0.0,6.33,,4.05,3.0,ACID,335.36,3.0,25.0,0.74,335.127,C19H17N3O3,6.0,1.0,0.0,-0.9
83,327.73,1.81,5.0,1.0,84.82,3.0,N,0.0,6.33,,3.11,2.06,ACID,327.73,3.0,23.0,0.74,327.0411,C16H10ClN3O3,6.0,1.0,0.0,-1.22
84,343.77,1.96,5.0,2.0,87.98,3.0,N,0.0,6.33,,3.18,2.13,ACID,343.77,3.0,24.0,0.76,343.0724,C17H14ClN3O3,6.0,2.0,0.0,-1.12
85,274.41,1.34,4.0,1.0,31.4,4.0,N,0.0,,9.99,1.09,-1.5,BASE,274.41,1.0,20.0,0.9,274.2157,C16H26N4,4.0,1.0,0.0,-0.97
86,274.41,1.34,4.0,1.0,31.4,4.0,N,0.0,,9.99,1.09,-1.52,BASE,274.41,1.0,20.0,0.9,274.2157,C16H26N4,4.0,1.0,0.0,-0.8
87,288.44,1.68,4.0,0.0,22.61,4.0,N,0.0,,9.06,1.47,-0.24,BASE,288.44,1.0,21.0,0.84,288.2314,C17H28N4,4.0,0.0,0.0,-1.02
