warnref_id,warning_id,ref_type,ref_id,ref_url
11,1,DailyMed,de109a2b-e36c-40d0-85fc-a67a9e7f1ae8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de109a2b-e36c-40d0-85fc-a67a9e7f1ae8
20,2,DailyMed,de109a2b-e36c-40d0-85fc-a67a9e7f1ae8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de109a2b-e36c-40d0-85fc-a67a9e7f1ae8
35,3,DailyMed,de109a2b-e36c-40d0-85fc-a67a9e7f1ae8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de109a2b-e36c-40d0-85fc-a67a9e7f1ae8
43,4,DailyMed,712143d9-e21e-4013-bb3b-3426a21060a8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=712143d9-e21e-4013-bb3b-3426a21060a8
44,16,DailyMed,c5177abd-9465-40d8-861d-3904496d82b7,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5177abd-9465-40d8-861d-3904496d82b7
45,17,DailyMed,c5177abd-9465-40d8-861d-3904496d82b7,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5177abd-9465-40d8-861d-3904496d82b7
48,26,DailyMed,6af396c2-af3e-436d-ba9a-583637495910,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6af396c2-af3e-436d-ba9a-583637495910
51,27,DailyMed,6af396c2-af3e-436d-ba9a-583637495910,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6af396c2-af3e-436d-ba9a-583637495910
52,27,DailyMed,cec7851f-c7af-4e9e-a5e4-a585c70510d2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cec7851f-c7af-4e9e-a5e4-a585c70510d2
58,35,DailyMed,e047f3b2-feae-4c5e-9d07-1fefb4c0ec25,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e047f3b2-feae-4c5e-9d07-1fefb4c0ec25
59,35,DailyMed,a60adac4-57c2-4089-aefc-1a77a48676fc,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a60adac4-57c2-4089-aefc-1a77a48676fc
60,36,DailyMed,e047f3b2-feae-4c5e-9d07-1fefb4c0ec25,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e047f3b2-feae-4c5e-9d07-1fefb4c0ec25
61,36,DailyMed,a60adac4-57c2-4089-aefc-1a77a48676fc,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a60adac4-57c2-4089-aefc-1a77a48676fc
63,37,DailyMed,e047f3b2-feae-4c5e-9d07-1fefb4c0ec25,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e047f3b2-feae-4c5e-9d07-1fefb4c0ec25
64,37,DailyMed,a60adac4-57c2-4089-aefc-1a77a48676fc,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a60adac4-57c2-4089-aefc-1a77a48676fc
66,44,DailyMed,5fcad939-76e7-49cf-af94-4e6aef17901f,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5fcad939-76e7-49cf-af94-4e6aef17901f
72,56,DailyMed,6236b0bc-82e9-4447-9a78-f57d94770269,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6236b0bc-82e9-4447-9a78-f57d94770269
73,57,DailyMed,6236b0bc-82e9-4447-9a78-f57d94770269,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6236b0bc-82e9-4447-9a78-f57d94770269
74,58,DailyMed,6236b0bc-82e9-4447-9a78-f57d94770269,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6236b0bc-82e9-4447-9a78-f57d94770269
75,61,DailyMed,098af6c6-7400-4b2b-bae6-03d5913ad712,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=098af6c6-7400-4b2b-bae6-03d5913ad712
76,61,DailyMed,9781f06d-485e-41f0-84aa-ee177f0ad137,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9781f06d-485e-41f0-84aa-ee177f0ad137
78,64,DailyMed,d6bfbc45-2d34-439e-8aad-59ee2d53d4df,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6bfbc45-2d34-439e-8aad-59ee2d53d4df
79,66,DailyMed,41c0e5e0-eb26-4d9e-bcd2-d0f2cc8fc6db,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=41c0e5e0-eb26-4d9e-bcd2-d0f2cc8fc6db
84,72,DailyMed,e91c4a69-2ad5-4e21-a279-9e1302b1a3d3,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e91c4a69-2ad5-4e21-a279-9e1302b1a3d3
94,81,DailyMed,77a67dc6-35d3-48ff-9d18-292d4d442f70,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77a67dc6-35d3-48ff-9d18-292d4d442f70
98,88,DailyMed,f260ff2a-76a0-4672-9516-91c344b67890,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f260ff2a-76a0-4672-9516-91c344b67890
99,88,DailyMed,c0f57839-1c9b-49e5-8c7a-708e2d16495d,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0f57839-1c9b-49e5-8c7a-708e2d16495d
