cpd_str_alert_id,molregno,alert_id
77027597,1,1029
77027598,2,1029
76954627,3,1017
77027599,4,1029
77027600,5,1029
77027601,6,1029
77027602,7,1029
77027603,8,1029
77027604,9,1029
76261705,10,138
76603845,10,235
77027605,15,1029
77027606,21,1029
77245873,23,1030
78344385,23,1059
75590296,24,108
76886837,24,1003
77245874,24,1030
78344386,24,1059
76430326,25,160
77245875,25,1030
75590297,26,108
76886838,26,1003
77245876,26,1030
78344387,26,1059
77027607,27,1029
76954628,28,1017
77027608,29,1029
76954629,30,1017
77027609,32,1029
78417694,33,1064
76261706,38,138
76603846,38,235
76261707,39,138
76603847,39,235
76261708,46,138
76603848,46,235
76261709,47,138
76314789,47,143
76603849,47,235
78160430,47,1043
74698283,48,32
74874490,48,63
76261710,48,138
76578264,48,234
76603850,48,235
76634222,48,245
77562151,48,1039
77615637,48,1040
78054224,48,1041
76261711,49,138
76314790,49,143
76603851,49,235
76261712,50,138
76603852,50,235
76261713,51,138
76603853,51,235
76261714,52,138
76603854,52,235
76261715,53,138
76603855,53,235
77027610,54,1029
76261716,55,138
76603856,55,235
76261717,56,138
76603857,56,235
74874491,58,63
75707100,58,113
77245877,58,1030
77615638,58,1040
78711910,58,1069
75707101,60,113
78711911,60,1069
75707102,61,113
78711912,61,1069
75607809,62,110
75707103,63,113
76254368,63,137
77615639,63,1040
78711913,63,1069
75707104,64,113
78711914,64,1069
75707105,65,113
78711915,65,1069
75707106,66,113
78711916,66,1069
75707107,67,113
78711917,67,1069
75707108,69,113
77245878,69,1030
77615640,69,1040
78711918,69,1069
74743384,70,36
75394061,70,106
75531784,70,107
76397673,70,156
76935427,70,1016
75607810,71,110
78711919,71,1069
78417695,72,1064
74743385,73,36
75394062,73,106
75531785,73,107
76397674,73,156
76935428,73,1016
77027611,74,1029
77027612,76,1029
77027613,77,1029
77027614,78,1029
77027615,79,1029
77027616,80,1029
77027617,81,1029
77027618,82,1029
77027619,83,1029
76954630,84,1017
75707109,89,113
78711920,89,1069
77027620,90,1029
77027621,91,1029
76227702,92,135
74637676,93,11
75394063,93,106
75590298,93,108
76345547,93,153
76554362,93,219
76886839,93,1003
76965228,93,1021
74743386,94,36
74762584,94,37
75394064,94,106
75531786,94,107
76345548,94,153
76397675,94,156
76416873,94,157
76529714,94,202
76935429,94,1016
77537539,94,1037
78995903,94,1093
75707110,98,113
76254369,98,137
77245879,98,1030
77615641,98,1040
78711921,98,1069
74762585,99,37
76416874,99,157
76481525,99,179
78995904,99,1093
75707111,100,113
77027622,100,1029
78711922,100,1069
74639402,102,15
74743387,102,36
75183238,102,68
75274061,102,92
75394065,102,106
75531787,102,107
76308828,102,140
76397676,102,156
76526143,102,201
76821289,102,346
76874059,102,993
76935430,102,1016
76966537,102,1022
76970712,102,1025
74611581,103,1
75136378,103,64
76749068,103,305
78344388,103,1059
74637677,104,11
75394066,104,106
75707112,104,113
76345549,104,153
76554363,104,219
76965229,104,1021
78711923,104,1069
74611582,105,1
75136379,105,64
75707113,105,113
76514963,105,195
76749069,105,305
78344389,105,1059
78711924,105,1069
75208714,106,75
75247539,106,81
76244571,106,136
75247540,107,81
76244572,107,136
75208715,108,75
75247541,108,81
76244573,108,136
75208716,109,75
75247542,109,81
76244574,109,136
75208717,110,75
75247543,110,81
76244575,110,136
77027623,111,1029
74859170,114,62
75607811,114,110
75707114,114,113
76469591,114,177
76486095,114,191
76662631,114,247
76981248,114,1026
77245880,114,1030
77615642,117,1040
77615643,118,1040
77615644,119,1040
75208718,123,75
75247544,123,81
76244576,123,136
75208719,124,75
75247545,124,81
76244577,124,136
75208720,125,75
75247546,125,81
76244578,125,136
75208721,126,75
75945288,126,127
75208722,127,75
77027624,127,1029
75208723,128,75
75247547,128,81
76244579,128,136
75208724,129,75
75247548,129,81
76244580,129,136
75607812,130,110
77027625,131,1029
78711925,131,1069
75208725,132,75
75247549,132,81
76244581,132,136
77615645,133,1040
77615646,134,1040
74874492,135,63
77245881,135,1030
77562152,135,1039
77615647,135,1040
78054225,135,1041
74698284,136,32
74874493,136,63
76578265,136,234
76634223,136,245
77245882,136,1030
77562153,136,1039
77615648,136,1040
78054226,136,1041
77245883,138,1030
74698285,139,32
74874494,139,63
77562154,139,1039
77615649,139,1040
78054227,139,1041
74698286,140,32
74874495,140,63
76578266,140,234
76634224,140,245
77245884,140,1030
77562155,140,1039
77615650,140,1040
78054228,140,1041
77027626,141,1029
77245885,142,1030
77245886,143,1030
77027627,144,1029
75607813,145,110
75208726,148,75
75247550,148,81
76244582,148,136
76705391,148,261
75208727,149,75
75247551,149,81
76244583,149,136
77245887,150,1030
77245888,151,1030
77615651,151,1040
74786689,152,47
75707115,152,113
76538915,152,213
77027628,152,1029
78711926,152,1069
79007699,152,1095
77615652,154,1040
74874496,156,63
75283740,156,93
76496784,156,192
77027629,156,1029
77615653,156,1040
78859010,156,1078
78876962,156,1079
74874497,157,63
77615654,157,1040
77615655,158,1040
77245889,159,1030
77615656,159,1040
77615657,160,1040
77615658,161,1040
77615659,163,1040
77615660,164,1040
77615661,165,1040
77615662,166,1040
77615663,167,1040
77245890,168,1030
74874498,169,63
77245891,169,1030
77615664,169,1040
74874499,170,63
77245892,171,1030
77245893,178,1030
77615665,178,1040
75607814,179,110
77027630,180,1029
77245894,181,1030
77615666,181,1040
76837522,182,350
74874500,184,63
74874501,185,63
74874502,186,63
77615667,186,1040
75846561,187,123
75945289,187,127
77615668,187,1040
78188348,187,1047
78273762,187,1049
77245895,188,1030
75846562,189,123
75945290,189,127
77615669,189,1040
78188349,189,1047
78273763,189,1049
75846563,190,123
75945291,190,127
77245896,190,1030
77615670,190,1040
78188350,190,1047
78273764,190,1049
75846564,191,123
75945292,191,127
77245897,191,1030
77615671,191,1040
78188351,191,1047
78273765,191,1049
74684225,192,18
74786690,192,47
75227439,192,76
75707116,192,113
75945293,192,127
76538916,192,213
76877206,192,1002
77615672,192,1040
78417696,192,1064
78711927,192,1069
79007700,192,1095
74786691,193,47
74859171,193,62
75707117,193,113
76486096,193,191
76538917,193,213
76981249,193,1026
79007701,193,1095
74786692,194,47
76538918,194,213
79007702,194,1095
74874503,197,63
77615673,197,1040
78876963,197,1079
74874504,198,63
77615674,198,1040
78876964,198,1079
75846565,199,123
75945294,199,127
77245898,199,1030
77615675,199,1040
78188352,199,1047
78273766,199,1049
74786693,200,47
75707118,200,113
76538919,200,213
77027631,200,1029
78711928,200,1069
79007703,200,1095
74786694,201,47
75707119,201,113
76538920,201,213
77245899,201,1030
77615676,201,1040
78711929,201,1069
79007704,201,1095
74786696,207,47
76538922,207,213
79007706,207,1095
74786697,208,47
76538923,208,213
79007707,208,1095
74786698,209,47
76538924,209,213
79007708,209,1095
74874505,213,63
75394067,213,106
75531788,213,107
76194948,213,133
77497816,213,1032
74786699,214,47
76538925,214,213
79007709,214,1095
74786700,215,47
75157091,215,66
76538926,215,213
79007710,215,1095
74786701,216,47
76538927,216,213
79007711,216,1095
76194949,217,133
76295649,217,139
74874506,219,63
75394068,219,106
75531789,219,107
76194950,219,133
77497817,219,1032
76194951,221,133
76194952,222,133
74874507,225,63
75394069,225,106
75531790,225,107
76194953,225,133
74786702,226,47
76538928,226,213
79007712,226,1095
74786703,227,47
75239203,227,79
76538929,227,213
79007713,227,1095
74786704,228,47
75707120,228,113
76538930,228,213
77245900,228,1030
77615678,228,1040
78711930,228,1069
79007714,228,1095
76194954,230,133
76194955,231,133
74874508,232,63
76194956,232,133
74874509,233,63
76194957,233,133
78054229,233,1041
74874510,234,63
76194958,234,133
74874511,239,63
76194959,239,133
78054230,239,1041
74874512,240,63
76194960,240,133
76295650,245,139
78932499,245,1080
74874513,247,63
75394070,247,106
75531791,247,107
76194961,247,133
77497818,247,1032
77615679,247,1040
74684226,250,18
75227440,250,76
76877207,250,1002
74874514,263,63
75394071,263,106
75531792,263,107
75846566,263,123
75931411,263,124
75945295,263,127
76194962,263,133
77615680,263,1040
78417697,263,1064
78389875,265,1062
78397105,265,1063
76194963,276,133
75394072,277,106
75531793,277,107
76194964,277,133
77497819,277,1032
74874515,278,63
75394073,278,106
75531794,278,107
76194965,278,133
77497820,278,1032
77615681,278,1040
78054231,278,1041
75394074,285,106
75945296,285,127
75394075,286,106
75945297,286,127
75394076,287,106
75945298,287,127
75394077,288,106
75933190,288,125
75945299,288,127
76720514,288,275
75394078,290,106
75933191,290,125
75945300,290,127
76720515,290,275
75394079,291,106
75945301,291,127
75846567,292,123
75945302,292,127
76430327,292,160
78188353,292,1047
74645165,293,17
74857138,293,61
75360730,293,103
75945303,293,127
78672850,293,1068
77245901,294,1030
77027632,296,1029
77027633,297,1029
74859172,298,62
76486097,298,191
76981250,298,1026
75394080,299,106
75531795,299,107
74874516,300,63
77615682,300,1040
75945304,302,127
78417698,302,1064
75945305,303,127
78417699,303,1064
77615683,316,1040
74743388,318,36
75394081,318,106
75531796,318,107
76397677,318,156
76935431,318,1016
77497049,318,1031
77497821,318,1032
76747965,319,301
74823161,321,56
74859173,321,62
77245902,321,1030
74874517,325,63
77615684,325,1040
78876966,325,1079
74874518,326,63
75394082,326,106
75531797,326,107
77497822,326,1032
77615685,326,1040
78876967,326,1079
77027634,328,1029
77245903,328,1030
75394083,332,106
75531798,332,107
77245904,333,1030
78397106,334,1063
78417700,334,1064
75707121,335,113
76388767,335,154
77615686,335,1040
78711931,335,1069
76430328,336,160
74874519,339,63
75394084,339,106
75531799,339,107
76160028,339,132
77497823,339,1032
77615687,339,1040
78934432,339,1082
75394085,340,106
75531800,340,107
76430329,341,160
78397107,342,1063
78417701,342,1064
76430330,345,160
74874520,346,63
75394086,346,106
75531801,346,107
76160029,346,132
77615688,346,1040
78934433,346,1082
74874521,347,63
75394087,347,106
75531802,347,107
76160030,347,132
77615689,347,1040
74684227,348,18
75227441,348,76
76877208,348,1002
76388768,349,154
76525666,349,200
75846568,354,123
75945306,354,127
76430331,354,160
78188354,354,1047
76430332,361,160
74874522,364,63
75394088,364,106
75531803,364,107
77245905,364,1030
77615690,364,1040
78876968,364,1079
74874523,365,63
76621683,365,240
77245906,365,1030
77615691,365,1040
78876969,365,1079
74859174,366,62
77245907,366,1030
75590299,368,108
76886840,368,1003
77615692,369,1040
78417702,369,1064
74823162,373,56
77245908,373,1030
76430333,374,160
75590300,375,108
76886841,375,1003
78397108,377,1063
78417703,377,1064
74874524,378,63
75394089,378,106
75531804,378,107
76160031,378,132
77497824,378,1032
77615693,378,1040
78397109,380,1063
78417704,380,1064
78397110,381,1063
78417705,381,1064
74874525,382,63
77615694,382,1040
78876970,382,1079
74874526,387,63
75394090,387,106
75531805,387,107
75846569,387,123
75931412,387,124
75945307,387,127
76160032,387,132
77615695,387,1040
78417706,387,1064
78934434,387,1082
74874527,390,63
75394091,390,106
75531806,390,107
77615696,390,1040
78876971,390,1079
74874528,391,63
76621684,391,240
77615697,391,1040
78876972,391,1079
74874529,392,63
77245909,392,1030
77562156,392,1039
77615698,392,1040
78054232,392,1041
78876973,392,1079
78397111,393,1063
78417707,393,1064
78417708,394,1064
74874530,398,63
75394092,398,106
75531807,398,107
75846570,398,123
75931413,398,124
75945308,398,127
76160033,398,132
77615699,398,1040
78417709,398,1064
75590301,400,108
76621311,400,239
76886842,400,1003
76430334,410,160
75270438,412,83
75314371,412,95
75394093,412,106
75531808,412,107
77615700,416,1040
78876974,416,1079
76430335,421,160
75270439,422,83
75314372,422,95
75394094,422,106
75531809,422,107
76430336,424,160
77615701,424,1040
78417710,426,1064
76708203,427,267
76430337,429,160
74814108,431,50
74859175,431,62
76312621,431,141
76994463,431,1028
77245910,431,1030
79042947,431,1099
78397112,435,1063
78417711,435,1064
75590302,436,108
76886843,436,1003
75590303,439,108
76621312,439,239
76747966,439,301
76886844,439,1003
76430338,441,160
76430339,443,160
74874531,446,63
75394095,446,106
75531810,446,107
77615702,446,1040
78876975,446,1079
74874532,448,63
76621685,448,240
77615703,448,1040
78876976,448,1079
74874533,449,63
76621686,449,240
77615704,449,1040
78876977,449,1079
74874534,450,63
75394096,450,106
75531811,450,107
77615705,450,1040
78876978,450,1079
76430340,455,160
76430341,457,160
75846571,462,123
75945309,462,127
76430342,462,160
78188355,462,1047
74786705,463,47
75239204,463,79
76538931,463,213
79007715,463,1095
76430343,465,160
74814109,468,50
76312622,468,141
76994464,468,1028
77245911,468,1030
79042948,468,1099
74814110,469,50
76312623,469,141
76994465,469,1028
77245912,469,1030
79042949,469,1099
75846572,474,123
75945310,474,127
76430344,474,160
78188356,474,1047
78397113,475,1063
78417712,475,1064
78397114,476,1063
78417713,476,1064
74874535,482,63
77615706,482,1040
76430345,487,160
76430346,488,160
74874536,489,63
77615707,489,1040
78417714,490,1064
75590304,491,108
76314791,491,143
76886845,491,1003
78160431,491,1043
74874537,492,63
75590305,492,108
76314792,492,143
76886846,492,1003
77615708,492,1040
78054233,492,1041
78160432,492,1043
74698287,493,32
74874538,493,63
75590306,493,108
76314793,493,143
76578267,493,234
76634225,493,245
76886847,493,1003
77562157,493,1039
77615709,493,1040
78054234,493,1041
78160433,493,1043
75707122,496,113
76388769,496,154
78711932,496,1069
78417715,498,1064
78417716,499,1064
78417717,500,1064
75846573,502,123
75945311,502,127
78188357,502,1047
78267765,502,1048
75846574,504,123
75945312,504,127
78188358,504,1047
78417718,505,1064
74874539,507,63
75590307,507,108
76314794,507,143
76886848,507,1003
78160434,507,1043
78397115,508,1063
78417719,508,1064
78397116,509,1063
78417720,509,1064
75590308,511,108
76886849,511,1003
78397117,516,1063
78417721,516,1064
75590309,519,108
76886850,519,1003
74698288,521,32
74874540,521,63
75590310,521,108
76314795,521,143
76886851,521,1003
77562158,521,1039
77615710,521,1040
78054235,521,1041
78160435,521,1043
76430347,522,160
76430348,523,160
77615711,523,1040
74874541,524,63
77615712,524,1040
75590311,525,108
76886852,525,1003
78417722,525,1064
75270440,527,83
75314373,527,95
75394097,527,106
75531812,527,107
74698289,528,32
74874542,528,63
75590312,528,108
76314796,528,143
76634226,528,245
76886853,528,1003
77562159,528,1039
77615713,528,1040
78054236,528,1041
78160436,528,1043
74859176,529,62
77245913,529,1030
74874543,531,63
75590313,531,108
76314797,531,143
76886854,531,1003
77562160,531,1039
77615714,531,1040
78054237,531,1041
78160437,531,1043
74874544,532,63
75590314,532,108
76314798,532,143
76886855,532,1003
78160438,532,1043
75394098,533,106
75531813,533,107
78417723,533,1064
76430349,534,160
74698290,535,32
74874545,535,63
75590315,535,108
76314799,535,143
76634227,535,245
76886856,535,1003
77562161,535,1039
77615715,535,1040
78054238,535,1041
78160439,535,1043
78417724,536,1064
75590316,538,108
76886857,538,1003
78397118,540,1063
78417725,540,1064
78417726,542,1064
74874546,544,63
75590317,544,108
76314800,544,143
76886858,544,1003
77562162,544,1039
77615716,544,1040
78054239,544,1041
78160440,544,1043
76388770,548,154
77615717,548,1040
74786706,551,47
76538932,551,213
79007716,551,1095
76991937,552,1027
77245914,552,1030
74874547,553,63
77615718,553,1040
78054240,553,1041
74874548,554,63
76430350,555,160
75846575,556,123
75945313,556,127
78417727,556,1064
78857625,556,1077
74786707,558,47
75239205,558,79
76538933,558,213
79007717,558,1095
74786708,559,47
75239206,559,79
76538934,559,213
79007718,559,1095
75590318,561,108
76314801,561,143
76886859,561,1003
78160441,561,1043
76430351,562,160
74698291,564,32
74874549,564,63
75590319,564,108
76314802,564,143
76578268,564,234
76634228,564,245
76886860,564,1003
77562163,564,1039
77615719,564,1040
78054241,564,1041
78160442,564,1043
75270441,565,83
75314374,565,95
75394099,565,106
75531814,565,107
77615720,565,1040
78397119,566,1063
78417728,566,1064
74874550,567,63
75590320,567,108
76314803,567,143
76886861,567,1003
77615721,567,1040
78160443,567,1043
76430352,569,160
77615722,569,1040
74698292,570,32
74874551,570,63
75590321,570,108
76314804,570,143
76634229,570,245
76886862,570,1003
77562164,570,1039
77615723,570,1040
78054242,570,1041
78160444,570,1043
78397120,571,1063
78417729,571,1064
74874552,574,63
75707123,574,113
76388771,574,154
77615724,574,1040
78711933,574,1069
74823163,576,56
74859177,576,62
77245915,576,1030
74786709,577,47
75394100,577,106
75945314,577,127
76538935,577,213
79007719,577,1095
75846576,578,123
75945315,578,127
76430353,578,160
78188359,578,1047
75707124,579,113
76388772,579,154
77615725,579,1040
78711934,579,1069
74874553,581,63
77615726,581,1040
74874554,582,63
77615727,582,1040
75846577,583,123
75945316,583,127
78854149,583,1075
76430354,584,160
78417730,587,1064
78417731,589,1064
75270442,590,83
75314375,590,95
75394101,590,106
75531815,590,107
76708204,591,267
75590322,594,108
76886863,594,1003
78417732,597,1064
76430355,598,160
77615728,598,1040
78417733,599,1064
74874555,600,63
75590323,600,108
76314805,600,143
76886864,600,1003
77615729,600,1040
78054243,600,1041
78160445,600,1043
76430356,602,160
75846578,603,123
75945317,603,127
76430357,603,160
78188360,603,1047
76430358,606,160
74874556,607,63
77615730,607,1040
76430359,611,160
76430360,612,160
76388773,614,154
74743389,615,36
75394102,615,106
75531816,615,107
76397678,615,156
76935432,615,1016
77245916,615,1030
75607815,616,110
77027635,616,1029
77245917,616,1030
77615731,616,1040
78054244,616,1041
75607816,617,110
75707125,617,113
77027636,617,1029
77245918,617,1030
78711935,617,1069
78841682,617,1072
74838624,618,57
76464787,618,165
78397121,618,1063
78417734,619,1064
74838625,620,57
75327370,620,100
76536544,620,209
76555510,620,221
76562480,620,222
76603858,620,235
76675101,620,252
76886865,620,1003
78397122,620,1063
75707126,621,113
76388774,621,154
78711936,621,1069
75607817,622,110
77027637,622,1029
77245919,622,1030
77615732,622,1040
78054245,622,1041
77245920,623,1030
74874557,624,63
78054246,624,1041
76708205,626,267
74645166,627,17
75945318,627,127
76617215,627,238
77615733,627,1040
78417735,627,1064
78672851,627,1068
78876979,627,1079
74645167,628,17
75945319,628,127
76617216,628,238
77615734,628,1040
78417736,628,1064
78672852,628,1068
78876980,628,1079
74645168,629,17
75945320,629,127
76617217,629,238
77615735,629,1040
78417737,629,1064
78672853,629,1068
78876981,629,1079
77245921,630,1030
74743390,631,36
75394103,631,106
75531817,631,107
76397679,631,156
76935433,631,1016
77245922,634,1030
77245923,635,1030
76464753,636,163
78397123,636,1063
74645169,637,17
75945321,637,127
76617218,637,238
77615736,637,1040
78365892,637,1060
78417738,637,1064
78672854,637,1068
78876982,637,1079
74611583,638,1
74645170,638,17
75136380,638,64
75945322,638,127
76617219,638,238
76749070,638,305
77615737,638,1040
78344390,638,1059
78417739,638,1064
78672855,638,1068
78876983,638,1079
76708206,640,267
75327371,641,100
76536545,641,209
76555511,641,221
76562481,641,222
76603859,641,235
76675102,641,252
76886866,641,1003
76430361,643,160
76430362,644,160
78417740,645,1064
74874558,646,63
75590324,646,108
76314806,646,143
76886867,646,1003
78160446,646,1043
76464754,647,163
77245924,647,1030
77615738,647,1040
78397124,647,1063
76464755,648,163
78397125,648,1063
75607818,650,110
75707127,650,113
77027638,650,1029
77245925,650,1030
78711937,650,1069
78841683,650,1072
74637297,652,9
74645171,652,17
75846579,652,123
